;Class;Source;Target;Total;Lines;Statements;X..Statements;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Commits;Creation
334;PrefixFilter;0;0;0;47;13;0;10;44.7;1;3;2.33;1;2;1.31;1;10;1;0;0;0;0;0;0;0;16;3;3;15;48.4;2;0;1;1;5;1;0;0;7;3;3;3;0;0;4;10;3;0;3;30;1269287493
335;PrefixQuery;0;0;0;96;47;17;24;27.1;1;6;5.33;7;3;1.62;2.33;34;2;1;0;1;0;0;0;0;58;20;20;21;26.6;0;0;2;1;5;0.3;1;0;32;2;5;6;0;0;8;25;0;2;5;37;1291080135
336;PrefixTermsEnum;0;0;0;50;15;13.3;4;46;1;2;3;3;3;1.13;2;9;0;0;0;0;0;0;0;0;20;5;5;17;45.9;1;0;2;1;5;0.8;1;0;5;2;2;2;0;0;5;6;0;2;1;3;1291080135
337;PreFlexCodec;0;0;0;81;28;0;7;35.8;1;5;1.6;1;2;0.89;1;17;0;0;0;0;0;0;0;0;39;6;6;23;37.1;1;0;2;2;15;1.3;0;0;8;2;5;5;0;0;9;10;10;1;5;6;1291116159
338;PreFlexFields;6;0;6;1111;547;24.1;265;16.9;6;9;7.96;24;9+;3.38;4.06;364;56;15;14;21;6;0;6;6;750;221;36.8;181;19.4;7;0;97;88;695;3.1;9;0;405;8;52;10;0;0;13;36;27;6;5;19;1298314239
339;PriorityQueue;0;0;0;250;88;18.2;14;54.8;1;11;6.36;7;4;2.18;2.91;46;7;1;1;0;0;0;0;0;110;33;33;110;50;0;0;1;1;5;0.2;0;0;66;8;12;13;1;9;0;14;0;20;8;25;1298203152
340;PulsingCodec;0;0;0;163;77;5.2;18;21.5;1;6;8;3;5;1.82;1.67;37;6;0;0;6;0;0;0;0;109;12;12;30;21.6;0;0;1;1;5;0.2;0;0;43;2;6;6;0;0;23;29;9;1;6;8;1298739952
341;PulsingPostingsReaderImpl;6;0;6;482;262;22.9;74;14.9;4;7.25;6.62;15;8;2.98;3.34;174;3;7;4;4;4;4;0;4;359;99;24.8;68;15.9;3;47;43;39;214;2;4;0;175;4;29;8;0;0;13;39;0;1;8;11;1297938719
342;PulsingPostingsWriterImpl;0;0;0;313;146;22.6;43;24.6;2;5.5;9.82;15;8;3.05;4.09;101;1;7;4;12;0;0;0;0;194;38;19;73;27.3;0;0;30;30;133;2.3;0;0;104;2;11;12;0;0;8;39;0;1;10;9;1295549635
343;Query;0;21;21;159;50;12;20;50.9;1;10;3.2;5;3;1.56;1.7;39;4;2;0;1;0;0;0;0;62;23;23;64;50.8;0;0;5;4;50;2.7;0;1;31;6;9;12;1;12;4;29;46;66;12;52;1297191928
344;QueryParser;2;1;3;754;587;42.2;172;12.6;4;7;18.5;45;8;3.65;5.93;398;8;48;13;93;9;1;8;9;625;235;58.8;82;11.6;6;0;191;174;839;4.5;11;6;411;19;28;29;0;1;12;59;118;1;14;106;1293391002
345;QueryParserBase;37;0;37;1157;372;9.7;267;36.7;2;16.5;8.94;20;6;2.39;1.91;526;53;50;11;67;5;0;3;5;608;214;107;283;31.8;2;31;73;67;557;3.1;5;1;328;34;60;61;1;1;33;150;1594;1;32;8;1297464713
346;QueryParserConstants;0;0;0;120;38;0;0;34.2;1;0;0;0;1;0.95;0;42;0;37;0;0;1;0;0;1;73;0;0;38;34.2;0;0;12;11;41;1.9;0;1;0;1;0;1;1;0;0;1;0;2;0;22;1288120493
347;QueryParserTokenManager;1;0;1;1079;837;54.5;149;1.2;1;30;25.77;202;9+;5.09;11.93;615;1;39;18;22;7;2;3;7;1047;383;383;12;1.1;0;339;173;156;1464;4.7;4;13;645;9;30;31;1;0;4;47;255;1;7;47;1293391002
348;QueryTermVector;0;0;0;152;83;13.3;49;17.1;1;11;5.09;6;6;2.47;2.1;62;15;2;0;7;2;0;0;2;105;20;20;15;12.5;5;0;14;14;60;1.9;0;0;55;7;8;10;1;0;7;41;0;0;9;25;1293391002
349;QueryWrapperFilter;0;0;0;82;28;3.6;8;37.8;2;4;2;2;4;1.59;1.13;23;3;0;0;3;0;0;0;0;41;9;9;23;35.9;0;0;2;2;10;0.8;0;0;13;2;5;7;0;0;9;20;0;1;6;24;1294930751
350;RAMDirectory;2;0;2;220;94;13.8;52;31.4;1;15;4.33;4;4;1.77;1.87;49;4;2;1;4;0;0;0;0;129;33;33;50;27.9;0;0;8;7;25;0.6;1;0;63;4;15;15;0;0;9;50;9;1;13;60;1297191928
351;RAMFile;0;0;0;92;35;2.9;7;29.3;1;11;1.45;2;3;1.46;1.09;40;2;8;0;0;1;0;0;1;48;11;11;21;30.4;2;0;2;2;6;0.4;0;0;16;3;10;11;1;1;1;18;21;6;3;18;1297191928
352;RAMInputStream;0;0;0;138;70;15.7;10;15.9;1;9;5.56;5;4;2.2;2.44;47;0;2;0;2;0;0;0;0;96;26;26;18;15.8;0;0;4;3;15;0.5;1;0;48;0;9;10;0;0;3;22;0;1;7;22;1294423355
353;RAMOutputStream;0;0;0;185;93;12.9;22;16.2;1;15;4.53;4;4;2.1;1.87;48;0;0;1;2;0;0;0;0;128;29;29;23;15.2;1;0;4;4;20;0.5;0;0;67;6;15;16;0;0;3;33;0;13;13;28;1280470393
354;RamUsageEstimator;0;0;0;210;92;20.7;42;30.5;1;8;7.63;14;7;2.15;3.63;86;21;3;5;0;0;0;0;0;120;32;32;44;26.8;1;0;17;17;76;2.1;0;0;58;7;8;9;1;0;3;39;26;28;6;14;1292173839
355;ReaderUtil;58;0;58;295;146;15.8;42;28.8;6;3.5;5;7;6;2.58;2.19;119;8;2;0;14;0;0;0;0;191;49;12.3;59;23.6;12;0;11;7;24;0.4;0;4;94;21;20;10;1;0;5;23;43;12;8;22;1296400215
356;RecyclingByteBlockAllocator;0;0;0;161;61;11.5;18;41.6;1;9;4.78;4;3;1.85;1.78;39;0;4;0;0;2;2;0;2;81;16;16;41;33.6;0;0;3;3;15;0.6;0;0;42;8;9;10;0;0;3;19;9;3;9;4;1292211129
357;RegExp;0;0;0;1004;393;11.2;368;38.5;2;5.5;32.27;23;6;2.22;3.9;429;18;5;11;44;2;2;0;2;558;210;105;309;35.6;0;0;97;96;401;2.4;1;0;390;8;46;48;1;0;6;93;602;1;8;3;1285970109
358;RegexpQuery;0;0;0;106;25;4;18;59.4;2;2.5;2.2;2;3;1.27;1.2;15;1;0;0;0;0;0;0;0;34;6;6;45;57;0;0;1;1;5;0.5;0;0;11;4;4;5;0;0;7;17;8;1;4;1;1270581567
359;ReqExclScorer;0;0;0;120;49;22.4;11;40;1;6;6.17;6;5;2.24;2.83;28;0;0;0;1;0;0;0;0;69;26;26;40;36.7;0;0;6;1;5;0.2;5;0;36;0;6;6;0;0;3;13;0;1;5;14;1295555804
360;ReqOptSumScorer;0;0;0;84;25;8;9;39.3;1;5;3;4;3;1.6;1.6;20;0;1;0;2;0;0;0;0;40;11;11;25;38.5;0;0;1;1;5;0.4;0;0;15;0;5;5;0;0;2;10;0;1;5;15;1295555804
361;ReusableStringReader;0;0;0;60;28;10.7;5;33.3;1;4;4.5;4;3;1.93;1.75;34;0;1;0;0;0;0;0;0;36;9;9;16;30.8;0;0;2;2;10;0.9;0;0;17;0;4;5;2;0;0;8;8;2;3;10;1274137954
362;ReverseOrdFieldSource;0;0;0;124;35;8.6;14;46;1;9;2.22;1;2;1;1;47;2;1;0;6;1;0;1;1;54;16;16;35;39.3;1;0;9;9;46;2.8;0;0;19;3;5;6;0;0;7;18;0;1;5;36;1295962488
363;RunAutomaton;0;0;0;168;76;23.7;25;42.9;1;8;7.38;10;6;2.63;3.38;77;9;1;0;0;0;0;0;0;89;25;25;22;19.8;0;0;8;8;34;1.3;0;0;56;7;8;8;1;2;5;21;0;2;7;5;1297191928
364;ScoreCachingWrappingScorer;0;0;0;81;25;4;8;34.6;1;7;1.71;2;3;1.44;1.14;21;0;0;0;0;0;0;0;0;40;8;8;22;35.5;0;0;1;1;5;0.4;0;0;12;2;7;7;0;0;3;14;0;2;7;13;1295555804
365;ScoreDoc;0;1;1;43;9;0;0;55.8;1;2;1.5;1;2;1.11;1;6;0;0;0;0;0;0;0;0;13;2;2;19;59.4;0;0;3;3;25;6.4;0;0;3;4;2;2;1;2;0;8;0;13;2;15;1297191928
366;Scorer;0;12;12;183;42;23.8;13;62.8;2;4.5;2.89;6;4;2.05;1.78;43;0;8;0;2;0;0;0;0;54;17;8.5;82;60.3;0;0;4;4;22;1.4;0;0;23;10;10;8;0;19;6;24;26;63;5;50;1295555804
367;ScorerDocQueue;19;0;19;219;104;10.6;21;36.5;2;9.5;3.84;7;4;2.02;1.84;61;4;2;1;9;1;0;0;1;129;35;17.5;65;33.5;3;0;7;7;35;0.9;0;0;70;13;19;16;1;0;2;24;0;2;12;10;1269287493
368;ScoringRewrite;0;0;0;205;86;4.7;62;23.9;2;3.5;8.71;2;5;3;1.4;100;18;0;0;12;0;0;0;0;133;23;7.7;41;23.6;0;0;9;8;44;1.1;1;0;60;1;8;4;0;2;15;24;4;6;2;6;1294868331
369;SegmentCodecs;0;0;0;132;52;11.5;21;37.9;1;7;4.14;4;5;1.75;1.86;53;11;0;0;5;1;0;1;1;69;13;13;40;36.7;0;0;7;6;18;0.9;1;0;31;0;7;7;1;0;9;37;0;13;1;4;1298314239
370;SegmentInfo;0;0;0;735;382;20.2;167;22.4;1;44;6.75;22;5;2.22;2.93;228;11;5;9;11;2;0;1;2;496;124;124;122;19.7;9;0;30;30;212;1.4;0;0;285;18;34;45;1;0;10;109;428;40;28;66;1298314239
371;SegmentInfos;0;0;0;903;369;20.3;133;31.9;3;16.33;5.84;43;9+;3.06;2.63;232;24;10;7;27;2;1;1;2;507;125;62.5;217;30;11;0;46;37;391;2.6;3;6;261;31;37;51;4;0;11;109;1067;26;36;89;1298314239
372;SegmentInfosReader;0;0;0;40;6;0;1;70;1;0;0;0;1;0.17;0;3;0;0;0;0;0;0;0;0;7;0;0;20;74.1;0;0;2;2;15;7.1;0;0;0;2;1;2;1;1;3;3;1;3;2;1;1278709584
373;SegmentInfosWriter;0;0;0;63;9;0;3;73;1;0;0;0;1;0.33;0;6;0;0;0;2;0;0;0;0;10;0;0;34;77.3;0;0;2;2;15;5;0;0;0;4;3;4;1;1;3;5;6;3;4;1;1278709584
374;SegmentMerger;0;0;0;613;327;21.1;151;17.8;2;10;13.5;12;9+;2.92;4.55;233;15;17;5;60;0;0;0;0;433;82;82;93;17.7;1;0;45;41;294;2.3;1;3;270;1;18;20;1;0;38;105;26;4;2;95;1298314239
375;SegmentReader;0;0;0;1208;621;18.5;251;16.6;4;18.25;6.59;30;6;2.78;2.96;521;47;40;8;39;6;0;1;6;843;237;59.3;172;16.9;5;0;44;40;357;1.4;0;4;464;9;72;61;0;0;28;156;970;9;27;164;1298314239
376;SegmentReadState;0;0;0;57;18;0;1;42.1;1;2;3.5;1;2;1.22;1;26;0;0;0;0;0;0;0;0;27;2;2;18;40;8;0;2;2;15;1.9;0;0;7;9;2;2;1;0;3;3;1;9;2;4;1294224724
377;SegmentTermDocs;0;0;0;239;138;18.8;36;22.2;1;14;7;9;5;2.33;3.29;101;0;9;1;1;0;0;0;0;165;46;46;47;22.2;8;0;6;6;35;0.7;0;0;92;11;14;15;1;1;9;38;31;2;10;35;1297437050
378;SegmentTermEnum;0;0;0;212;104;8.7;35;27.4;1;13;4.92;5;3;1.71;1.77;112;0;2;1;3;0;0;0;0;125;25;25;53;29.8;0;0;12;11;100;2.7;1;0;62;5;13;14;1;0;8;42;0;6;4;37;1296426876
379;SegmentTermPositions;0;0;0;218;97;14.4;21;28.9;1;15;4.53;5;4;1.86;2.13;58;0;1;1;0;0;0;0;0;130;34;34;55;29.7;4;0;5;4;21;0.5;1;0;67;5;14;16;0;0;6;30;26;1;8;36;1296400215
380;SegmentTermPositionVector;0;0;0;67;24;16.7;2;41.8;1;3;5;4;3;1.58;3;27;0;1;0;5;0;0;0;0;32;11;11;19;37.3;0;0;7;5;75;7.8;0;2;15;2;3;4;0;0;4;5;0;1;3;10;1278318805
381;SegmentTermVector;0;0;0;92;40;12.5;13;27.2;1;8;3.13;4;4;1.72;1.63;38;1;4;0;3;0;0;0;0;52;13;13;18;25.7;3;0;8;8;31;2;0;0;25;3;5;8;1;1;2;16;0;3;7;15;1278318805
382;SegmentWriteState;0;0;0;83;36;0;0;41;1;2;9;1;2;1.36;1;33;0;0;0;0;0;0;0;0;40;2;2;26;39.4;10;0;6;6;55;4.6;0;0;18;12;2;2;1;0;5;3;0;27;1;19;1297437050
383;SepPostingsReaderImpl;6;0;6;743;400;17.5;134;13.6;4;7;10.43;9;7;2.91;3.93;287;12;8;0;7;6;4;0;6;535;106;26.5;95;15.1;2;59;48;46;230;1.4;2;0;278;3;28;10;0;0;20;38;21;2;9;18;1297945369
384;SepPostingsWriterImpl;0;0;0;331;176;11.4;60;19;1;11;10.55;9;7;2.12;3;149;0;3;0;3;0;0;0;0;219;32;32;55;20.1;2;0;29;28;82;1.2;1;0;107;3;11;12;0;0;16;48;14;0;11;13;1297945369
385;SepSkipListReader;0;0;0;207;102;22.5;33;15.5;1;11;6.64;10;4;2.05;3.09;97;24;4;0;0;0;0;0;0;149;31;31;25;14.4;0;16;10;10;55;1.2;0;0;70;0;11;11;0;0;5;21;11;2;0;2;1297887586
386;SepSkipListWriter;0;0;0;199;87;18.4;31;29.6;1;7;8.57;8;4;2.03;3.29;99;20;4;0;0;0;0;0;0;116;22;22;50;30.1;0;0;6;6;10;0.3;0;0;58;0;7;8;0;0;4;20;0;1;0;2;1297887586
387;SerialMergeScheduler;0;0;0;43;9;22.2;2;48.8;1;2;2;3;3;1.44;2;8;0;2;0;0;0;0;0;0;16;4;4;17;51.5;0;0;3;3;12;2.5;0;0;5;1;2;3;0;0;4;6;3;0;3;10;1269287493
388;SetBasedFieldSelector;0;0;0;58;15;13.3;2;56.9;1;2;4;3;3;1.47;2;21;0;4;0;3;0;0;0;0;20;4;4;20;50;0;0;3;3;9;1.5;0;0;8;3;2;2;1;0;2;4;0;0;2;10;1269287493
389;SetOnce;0;0;0;77;20;10;5;51.9;2;2.5;1.8;3;3;1.5;1.4;17;0;2;0;0;0;0;0;0;28;6;3;28;50;1;0;1;1;5;0.6;0;0;8;6;4;4;1;0;1;8;0;2;4;2;1296426876
390;ShortFieldSource;0;0;0;115;31;3.2;14;41.7;1;9;1.67;1;2;1.03;1;42;3;0;0;5;0;0;0;0;56;14;14;35;38.5;0;27;3;3;45;2.7;0;0;15;3;6;6;0;0;6;16;3;2;6;25;1269287493
391;ShortValuesCreator;0;0;0;147;60;0;38;12.2;2;3;6;1;3;1.52;1;47;0;1;5;10;0;0;0;0;112;26;26;14;11.1;3;22;9;8;74;2.2;0;1;51;3;8;10;0;0;16;30;25;3;9;5;1294225344
392;Similarity;0;5;5;762;50;4;26;87.7;1;9;3.11;1;2;1.02;1;118;0;0;1;15;0;0;0;0;74;13;13;579;88.7;0;0;4;4;15;0.7;0;0;28;12;11;13;1;1;7;27;76;20;12;66;1297466174
393;SimilarityProvider;0;9;9;66;5;0;0;83.3;1;3;0;0;1;0.6;0;9;0;0;0;0;0;0;0;0;6;0;0;39;86.7;0;0;1;1;5;2.8;0;0;0;4;3;3;1;0;1;3;3;14;3;1;1295896411
394;SimpleEntryKey;0;0;0;77;31;22.6;14;23.4;1;3;5.33;7;5;2.16;3.33;26;3;0;0;1;0;0;0;0;50;16;16;14;21.9;4;0;2;2;10;0.7;0;0;25;5;4;4;0;0;1;14;0;3;4;2;1285538458
395;SimpleFSDirectory;0;0;0;171;50;0;39;27.5;1;3;14;1;2;1.74;1;64;1;4;0;1;0;0;0;0;104;22;7.3;38;26.8;0;0;6;6;51;1.6;0;0;42;3;13;3;0;0;4;8;3;1;3;18;1280470393
396;SimpleFSLockFactory;0;0;0;145;41;19.5;21;42.8;2;5;2.4;5;4;1.73;2;33;0;1;0;0;0;0;0;0;66;24;12;46;41.1;0;0;3;3;15;0.8;0;0;24;4;10;5;0;0;3;18;8;0;5;21;1296426876
397;SimpleStringInterner;0;0;0;85;32;12.5;8;37.6;2;1.5;7;7;4;2.06;3;40;1;3;0;8;1;0;1;1;42;10;5;23;35.4;0;0;6;5;19;1.5;1;0;21;2;3;2;0;0;3;13;0;1;2;9;1269287493
398;SimpleTextCodec;0;0;0;72;25;0;6;34.7;1;6;1;1;2;0.76;1;25;0;1;0;0;0;0;0;0;36;6;6;19;34.5;1;0;2;2;10;0.9;0;0;6;2;6;6;0;0;10;11;15;3;5;3;1291921259
399;SimpleTextFieldsReader;3;0;3;577;353;15.9;119;6.1;7;6.29;5.23;15;7;2.97;2.57;329;19;8;8;44;2;2;0;2;482;125;17.9;29;5.7;6;0;34;32;164;1.1;2;0;221;6;43;9;0;0;13;27;26;6;5;13;1296400215
400;SimpleTextFieldsWriter;0;0;0;150;80;5;39;11.3;3;4.67;2.71;4;4;1.88;1.43;71;0;3;0;0;0;0;0;0;110;20;6.7;13;10.6;1;0;13;13;41;1.2;0;0;38;1;14;10;0;0;10;20;19;4;3;4;1295102557
401;SingleInstanceLockFactory;0;0;0;91;28;3.6;7;31.9;2;3.5;1.86;2;4;1.5;1.14;29;3;2;0;0;0;0;0;0;48;10;5;22;31.4;0;0;3;3;16;1.1;0;0;13;1;7;3;0;0;3;8;0;1;3;14;1269287493
402;SingleTermsEnum;0;0;0;53;13;0;4;54.7;1;2;2;1;2;0.85;1;7;0;0;0;0;0;0;0;0;17;3;3;21;55.3;0;0;1;1;5;1;0;0;4;2;2;2;0;0;5;6;0;2;1;3;1291080135
403;SloppyPhraseScorer;0;0;0;215;97;29.9;27;38.1;1;5;16.8;19;6;2.89;7.6;86;3;3;6;10;0;0;0;0;125;43;43;72;36.5;0;0;9;9;70;1.9;0;0;86;0;5;5;0;0;6;19;0;2;0;27;1295555804
404;SlowMultiReaderWrapper;0;0;0;107;38;7.9;12;39.3;1;7;2.86;4;3;1.32;1.43;32;0;2;0;2;0;0;0;0;54;12;12;34;38.6;1;0;5;5;96;5.9;0;0;20;2;6;7;0;0;9;20;3;0;6;8;1294877328
405;SmallFloat;0;0;0;124;46;21.7;6;47.6;1;6;6.33;4;3;1.93;2.67;42;0;1;0;3;0;0;0;0;57;28;28;46;44.7;0;0;5;5;38;2.2;0;0;37;7;6;7;1;0;0;10;21;1;7;13;1298483754
406;SnapshotDeletionPolicy;0;0;0;367;123;16.3;66;37.3;3;8.33;2.88;9;5;2.12;1.76;118;6;13;0;5;0;0;0;0;189;50;16.7;104;35.5;3;0;8;8;13;0.2;0;0;83;10;26;13;1;1;4;46;20;2;9;23;1289498882
407;Sort;0;0;0;179;34;11.8;12;64.2;1;9;2.11;3;3;1.56;1.44;32;3;4;0;1;1;0;0;1;46;15;15;84;64.6;0;0;3;3;7;0.5;0;0;19;7;9;10;1;0;1;18;15;3;9;33;1297191928
408;SortedIntSet;0;0;0;278;162;27.2;36;9.4;2;6.5;10.08;12;6;2.94;4.38;111;2;1;8;1;4;1;2;4;222;73;36.5;22;9;7;0;10;10;52;0.8;0;0;129;7;13;10;1;0;3;32;0;2;8;2;1296400215
409;SortedTermVectorMapper;0;0;0;133;45;17.8;21;36.8;1;5;6.2;17;5;2.67;4.2;42;0;3;4;0;0;0;0;0;69;21;21;31;31;1;0;6;6;29;1.4;0;0;30;3;4;5;0;0;4;19;2;0;5;11;1278318805
410;SortedVIntList;8;0;8;239;100;13;29;30.1;2;9;3.89;6;5;2.21;2;61;0;3;0;1;1;0;0;1;139;32;16;48;25.7;0;0;13;11;76;1.8;2;0;63;8;14;18;0;0;5;27;107;2;9;17;1269287493
411;SorterTemplate;0;0;0;199;105;26.7;35;19.1;1;7;12.86;11;5;2.42;5.29;61;0;0;2;3;0;0;0;0;136;36;36;32;19;0;0;13;13;42;1;0;0;87;4;11;12;1;5;0;13;66;7;4;8;1295391161
412;SortField;0;1;1;488;219;39.7;96;34.6;1;22;7.77;16;4;2.45;3.77;105;7;1;5;5;2;1;1;2;251;97;97;140;35.8;2;0;33;33;175;2.3;0;0;139;15;17;23;1;0;28;66;0;9;21;50;1297191928
413;SpanFilter;0;0;0;38;5;0;1;76.3;1;0;0;0;1;0.2;0;10;0;0;0;0;0;0;0;0;6;0;0;21;77.8;0;0;1;1;5;2.8;0;0;0;2;1;2;0;2;3;3;1;2;2;9;1295877066
414;SpanFilterResult;0;0;0;116;35;0;3;38.8;3;3.33;1.3;1;3;1.83;1;34;0;6;0;0;0;0;0;0;50;4;1.3;23;31.5;5;0;3;3;11;0.7;0;0;13;7;4;3;1;0;1;4;0;4;3;12;1269287493
415;SpanFirstQuery;0;0;0;90;39;12.8;27;28.9;1;6;4.83;5;2;1.64;2.17;38;1;0;0;0;2;0;1;2;51;17;17;19;27.1;0;0;6;6;62;4.1;0;0;28;2;6;7;0;0;5;25;0;0;5;23;1295877066
416;SpanMultiTermQueryWrapper;0;0;0;241;97;10.3;37;31.5;5;4.4;2.68;4;5;2.11;1.48;82;0;0;0;0;0;0;0;0;136;40;13.3;54;28.4;0;0;11;11;40;1;0;0;54;8;15;10;0;0;11;26;0;1;9;4;1295877066
417;SpanNearPayloadCheckQuery;0;0;0;117;55;20;31;27.4;1;6;7;9;7;2.25;3.17;47;2;2;0;4;1;0;1;1;75;22;22;23;23.5;0;17;11;11;91;4;0;0;44;2;6;6;0;0;6;29;0;0;5;4;1296400215
418;SpanNearQuery;0;0;0;192;105;18.1;56;21.9;1;12;5.5;4;4;1.47;1.89;83;6;3;0;3;1;0;1;1;128;43;43;37;22.4;1;22;11;11;93;2.4;0;0;76;6;13;13;0;1;9;46;0;6;13;29;1295877066
419;SpanNotQuery;0;0;0;213;112;17;77;19.7;1;19;4.68;22;5;1.83;3.69;79;3;3;7;2;1;0;1;1;151;54;54;38;20.1;0;0;13;13;135;3;0;0;76;2;9;13;0;0;7;31;0;1;11;26;1295877066
420;SpanOrQuery;0;0;0;262;148;21.6;106;10.7;2;11.5;5.09;19;5;2.34;3.48;112;16;4;5;9;2;0;1;2;201;76;38;24;10.7;0;13;12;12;137;2.3;0;0;104;4;12;12;0;0;7;42;0;6;11;32;1295877066
421;SpanPayloadCheckQuery;0;0;0;119;54;16.7;33;31.1;1;6;6.67;6;6;2;2.83;50;2;2;0;3;1;0;1;1;72;22;22;27;27.3;0;17;11;11;91;4.2;0;0;41;2;6;6;0;0;6;30;0;0;5;3;1296400215
422;SpanPositionCheckQuery;0;0;0;176;74;21.6;23;26.7;3;5.33;2.63;8;6;2.42;1.81;53;2;4;0;2;0;0;0;0;97;34;11.3;28;22.4;1;12;8;8;33;1.1;0;0;39;3;17;7;0;3;7;13;1;4;6;3;1295877066
423;SpanPositionRangeQuery;0;0;0;105;47;10.6;29;26.7;1;8;4.13;6;2;1.62;2.13;45;1;0;0;0;1;0;1;1;61;21;21;17;21.8;1;0;6;6;62;3.4;0;0;32;4;8;9;0;1;5;26;0;1;7;2;1289846486
424;SpanQuery;0;2;2;41;11;0;3;48.8;1;1;1;1;2;0.45;1;5;0;0;0;0;0;0;0;0;14;1;1;16;53.3;0;0;1;1;5;1.2;0;0;1;3;3;4;0;7;6;6;6;27;4;20;1295877066
425;SpanQueryFilter;0;0;0;102;39;5.1;17;28.4;1;8;2.63;3;4;1.56;1.38;40;9;1;0;4;0;0;0;0;58;11;11;21;26.6;1;0;3;2;6;0.3;1;0;21;3;8;8;0;0;9;29;0;0;7;16;1295877066
426;Spans;0;0;0;87;11;0;7;74.7;1;0;0;0;1;0.64;0;8;0;0;0;0;0;0;0;0;12;0;0;54;81.8;0;0;3;3;15;4.2;0;0;0;8;7;8;1;7;0;9;28;30;8;15;1295877066
427;SpanScorer;0;0;0;120;62;12.9;20;20;1;8;5;4;3;1.71;2.13;38;1;0;0;1;0;0;0;0;81;20;20;18;18.2;0;0;2;1;5;0.2;1;0;38;1;8;8;0;2;5;25;0;3;5;31;1295555804
428;SpanTermQuery;0;0;0;102;55;21.8;31;20.6;1;8;4.63;7;4;1.67;2.5;38;5;2;0;1;0;0;0;0;68;26;26;17;20;0;12;3;2;25;1.2;1;0;34;3;8;8;0;1;11;31;0;4;8;27;1295877066
429;SpanWeight;0;0;0;142;71;2.8;64;18.3;1;7;6.71;3;2;1.54;1.29;59;9;2;0;0;0;0;0;0;91;11;11;20;18;1;0;5;3;14;0.5;2;0;47;2;7;7;0;2;15;45;0;3;7;29;1295896411
430;SpecialOperations;0;0;0;210;89;5.6;90;34.3;1;3;26.67;5;3;1.91;3;121;24;1;0;11;0;0;0;0;125;48;48;27;17.8;2;0;15;15;18;0.5;0;0;103;7;10;10;1;0;4;46;45;3;6;4;1288987640
431;StaleReaderException;0;0;0;36;5;0;1;72.2;1;1;1;1;2;0.6;1;4;0;0;0;0;0;0;0;0;7;1;1;8;53.3;1;0;1;1;5;2.4;0;0;1;2;1;1;4;0;0;2;0;2;1;7;1269287493
432;StandardCodec;0;0;0;150;76;5.3;20;16;1;6;8;3;5;1.87;1.67;41;6;3;0;6;0;0;0;0;109;12;12;20;15.5;2;0;6;6;22;0.7;0;0;43;3;6;6;0;0;20;24;15;2;6;7;1297938719
433;StandardPostingsReader;3;0;3;860;435;17.9;111;16.4;5;7.4;8.57;12;6;2.97;3.49;350;6;8;0;7;4;4;0;4;584;124;24.8;137;19;5;221;38;35;285;1.6;3;0;303;6;37;10;0;0;17;35;21;5;9;13;1297437050
434;StandardPostingsWriter;0;0;0;272;132;15.2;39;22.4;1;10;8.4;8;4;1.84;3.2;120;0;7;0;3;0;0;0;0;170;29;29;54;24.1;1;0;24;23;92;1.8;1;0;77;2;10;11;0;0;13;40;7;2;10;8;1297437050
435;State;0;0;0;276;115;19.1;30;37.3;2;11;4.36;1;5;1.44;1;99;0;1;1;21;4;1;2;4;146;46;23;39;21.1;5;0;22;20;95;2.2;2;0;77;18;19;20;1;0;4;37;96;19;17;9;1297191928
436;StatePair;0;0;0;101;24;8.3;2;60.4;1;6;2.17;4;3;1.54;1.5;31;0;0;0;0;0;0;0;0;32;10;10;15;31.9;0;0;1;1;5;0.5;0;0;12;4;6;6;1;0;1;8;0;2;5;1;1270581567
437;StoredFieldsWriter;0;0;0;153;77;11.7;33;15.7;2;6.5;3.69;4;4;2.04;1.69;84;7;7;0;0;0;0;0;0;105;24;12;20;16;2;15;9;8;52;1.7;0;1;49;2;13;10;1;0;12;36;5;4;3;22;1298314239
438;StoredFieldsWriterPerThread;0;0;0;79;37;8.1;9;26.6;1;5;4.6;2;3;1.81;1.6;32;2;0;0;0;0;0;0;0;47;9;9;17;26.6;4;0;4;4;20;1.4;0;0;22;4;5;6;1;0;9;22;0;2;5;9;1298314239
439;StringHelper;0;0;0;57;12;16.7;2;61.4;1;3;2;3;3;1.42;1.67;15;0;2;0;0;1;0;0;1;16;7;7;23;59;0;0;4;3;20;4.2;0;1;6;4;3;4;1;0;2;7;4;10;2;15;1291116159
440;StringInterner;0;0;0;37;6;0;3;70.3;1;2;1;1;2;1;1;7;0;0;0;0;0;0;0;0;9;2;2;19;67.9;0;0;1;1;5;1.9;0;0;2;3;2;3;1;1;0;6;3;2;3;7;1269287493
