;Class;Source;Target;Total;Lines;Statements;X..Statements;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Commits;Creation
261;MultiLevelSkipListReader;0;0;0;283;125;16;38;26.5;2;8;5.25;10;5;2.13;2.44;116;36;4;0;3;0;0;0;0;167;39;19.5;63;27.4;2;0;7;7;24;0.5;0;0;83;5;16;11;1;2;3;30;0;2;5;13;1295880675
262;MultiLevelSkipListWriter;0;0;0;153;46;23.9;16;45.1;1;5;6.4;5;4;2;3.6;47;13;1;0;4;0;0;0;0;60;19;19;49;45;0;0;4;4;16;0.9;0;0;31;3;6;6;1;2;2;16;0;2;2;11;1270581567
263;MultiNorms;0;0;0;83;33;21.2;15;47;1;1;25;9;6;2.64;9;26;1;1;0;7;0;0;0;0;39;14;14;29;42.6;0;0;11;11;131;11.2;0;0;25;2;1;2;1;0;4;16;1;2;2;2;1294877328
264;MultiPhraseQuery;0;0;0;590;302;18.9;212;14.2;5;7.8;5.79;14;7;2.58;2.62;288;55;20;5;11;1;0;1;1;417;111;22.2;63;13.1;1;84;31;29;138;1.1;2;0;221;7;36;20;0;0;10;58;46;4;14;51;1295896411
265;MultiReader;0;0;0;406;184;17.4;64;26.6;1;35;3.71;14;7;2.08;1.94;203;57;6;5;10;3;0;1;3;274;74;74;90;24.7;0;104;10;8;130;1.6;1;1;125;3;34;35;0;0;17;68;95;0;27;75;1296400215
266;MultiTermQuery;1;0;1;351;77;0;48;53.6;7;2;2.86;1;3;1.75;1;82;2;2;0;1;0;0;0;0;129;36;7.2;149;53.6;1;0;8;8;25;0.6;0;0;46;14;21;13;0;5;9;27;28;22;9;58;1297191928
267;MultiTermQueryWrapperFilter;0;0;0;156;63;19;22;38.5;1;8;5.38;10;7;2.17;2.5;43;11;2;0;8;0;0;0;0;80;25;25;46;36.5;0;0;8;7;39;1.6;1;0;41;4;8;9;0;3;14;32;0;4;7;21;1294747166
268;MultiTerms;0;0;0;97;43;23.3;12;24.7;1;4;7;6;5;1.98;3.75;28;2;2;0;3;2;0;0;2;59;16;16;17;22.4;1;0;4;4;10;0.6;0;0;27;2;3;4;0;0;5;17;0;1;4;2;1295102557
269;MultiTermsEnum;0;0;0;443;245;26.1;59;15.1;4;5.25;9.14;17;6;2.58;4.19;196;41;14;7;17;1;0;0;1;319;79;19.8;60;15.8;5;32;13;11;105;1.1;0;2;171;7;18;17;0;0;17;57;4;2;14;9;1295549635
270;MultiValueSource;0;0;0;137;56;7.1;23;20.4;2;7;2.07;3;4;1.93;1.29;86;30;1;0;3;0;0;0;0;88;20;10;22;20;1;0;4;4;19;0.7;0;0;28;2;14;6;0;0;6;13;0;1;6;14;1296400215
271;NamedThreadFactory;0;0;0;67;21;0;15;47.8;1;3;2.67;2;2;1.14;1.33;23;1;1;0;0;0;0;0;0;28;6;6;20;41.7;0;0;2;2;10;1.2;0;0;8;3;3;4;1;0;0;17;2;0;2;8;1269287493
272;NativeFSLockFactory;0;0;0;330;122;19.7;44;38.5;2;5.5;8.73;15;8;3.11;3.27;75;2;8;5;4;2;0;2;2;169;43;21.5;106;38.5;0;0;15;14;79;1.6;1;0;82;4;11;5;0;0;3;17;8;1;5;27;1296426876
273;NearSpansOrdered;0;0;0;343;155;12.3;90;25.1;1;14;8.29;9;5;2.01;2.92;174;58;7;6;22;1;0;0;1;232;69;69;73;23.9;2;0;18;18;116;1.7;0;0;128;3;15;18;0;0;6;55;45;4;11;18;1295877066
274;NearSpansUnordered;0;0;0;318;172;20.3;94;20.1;3;9.67;4;13;5;2.33;2.54;133;19;9;6;14;2;0;0;2;235;75;25;55;19;1;11;12;12;58;0.8;0;0;111;2;28;22;0;0;6;58;117;4;10;20;1295877066
275;NIOFSDirectory;0;1;1;181;53;0;37;38.1;1;3;14;1;2;1.64;1;46;3;1;0;2;0;0;0;0;96;19;9.5;59;38.1;0;0;2;2;16;0.6;0;0;46;3;7;3;0;0;4;9;3;1;3;19;1283181885
276;NLS;0;0;0;206;85;22.4;43;33;2;6;5;5;5;2.07;2.58;77;11;1;0;4;2;2;0;2;117;33;33;48;29.1;4;0;21;19;132;3.8;0;2;51;5;11;12;1;0;1;41;60;1;4;12;1287369691
277;NLSException;0;0;0;34;3;0;0;82.4;1;1;0;0;1;0.33;0;2;0;0;0;0;0;0;0;0;4;0;0;17;81;0;0;2;2;7;5.8;0;0;0;2;1;1;1;0;1;1;0;0;1;9;1269287493
278;NodeHash;0;0;0;165;85;22.4;24;20.6;1;7;10;12;5;2.53;4.43;54;6;1;2;10;0;0;0;0;116;36;36;30;20.5;1;0;17;17;78;2.2;0;0;71;1;7;8;1;0;6;23;4;1;2;3;1294224724
279;NoDeletionPolicy;0;0;0;41;8;0;1;56.1;1;3;0;1;1;0.5;1;7;0;2;0;0;0;0;0;0;10;3;3;17;63;2;0;3;3;15;5;0;0;0;3;3;4;1;0;1;5;6;0;2;6;1270762451
280;NoLockFactory;0;0;0;70;19;0;2;34.3;2;4;0.63;1;2;1.05;1;17;0;2;0;0;0;0;0;0;33;7;3.5;17;34;0;0;3;3;15;1.5;0;0;5;1;7;5;0;0;3;7;6;0;3;15;1291116159
281;NoMergePolicy;0;0;0;79;21;0;2;43;1;8;0.75;1;2;1.1;1;25;0;2;0;0;0;0;0;0;31;8;8;24;43.6;0;0;3;3;15;1.6;0;0;6;1;8;9;0;0;6;10;34;0;7;3;1292695408
282;NoMergeScheduler;0;0;0;46;7;0;1;60.9;1;3;0;1;1;0.57;1;8;0;2;0;0;0;0;0;0;11;3;3;22;66.7;0;0;3;3;15;4.5;0;0;0;1;3;4;0;0;3;5;6;0;2;2;1296426876
