;Class;Source;Target;Total;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;Creation
583;Resource;0;4;4;424;125;12;92;48.3;2;15.5;2.58;6;5;1.83;1.81;94;18;9;0;0;1;0;0;1;29;0;8;5;59;328;90;27;183;86;86;120;39.6;0;0;21;20;131;2.4;1;0;74;27;28;24;1192122616
584;ResourceCollection;0;0;0;50;6;0;0;74;1;3;0;0;1;0.5;0;1;0;0;0;0;0;0;0;0;3;1;0;0;3;3;74;3;7;0;0;12;63.2;0;0;1;1;5;2.4;0;0;0;4;3;3;1163720163
585;ResourceComparator;0;0;0;81;20;15;16;55.6;1;3;3.67;4;3;1.45;2.67;18;5;1;0;0;0;0;0;0;5;0;9;2;12;10;13;4;28;11;11;18;39.1;0;0;3;3;15;1.8;0;0;11;4;4;4;1163718822
586;ResourceContains;0;0;0;165;72;18.1;27;31.5;1;9;5.11;7;6;2.07;2.78;40;8;4;0;3;4;0;0;4;10;1;0;7;33;17;0;8;98;26;26;19;16.2;0;0;5;5;45;1.5;0;0;42;2;3;7;1188833385
587;ResourceCount;2;0;2;124;39;17.9;22;41.9;1;4;5.25;4;3;1.51;2.67;29;1;0;0;0;0;0;0;0;8;0;0;7;25;12;0;8;59;15;15;19;24.4;0;0;2;2;10;0.6;0;0;20;5;4;5;1165207910
588;ResourceFactory;0;4;4;38;3;0;0;84.2;1;1;0;0;1;0.33;0;2;0;0;0;0;0;0;0;0;1;1;0;1;1;0;8;1;4;0;0;9;69.2;0;0;2;2;7;5.8;0;0;0;2;1;10;1157136567
589;ResourceLocation;0;0;0;106;18;0;0;65.1;1;6;1;1;2;1.17;1;9;0;0;0;0;0;0;0;0;7;1;1;0;8;3;5;7;25;0;0;34;57.6;0;0;1;1;5;0.7;0;0;6;1;0;13;1157136567
590;Resources;0;0;0;235;113;17.7;69;23.4;5;4.2;3.24;6;5;2.16;2.05;76;10;11;0;1;0;0;0;0;12;0;0;8;47;44;10;6;161;58;19.3;22;12;5;0;14;14;108;2.2;0;0;68;11;15;12;1178663230
591;ResourceSelector;0;0;0;35;4;0;0;74.3;1;1;0;0;1;0.25;0;2;0;0;0;0;0;0;0;0;1;1;0;1;1;0;25;1;5;0;0;5;50;0;0;2;2;7;4.7;0;0;0;2;1;3;1163718822
592;ResourceSelectorContainer;0;0;0;129;48;22.9;31;38.8;1;7;4.43;6;5;1.88;2.57;30;5;3;0;0;0;0;0;0;7;0;5;4;26;0;5;6;67;23;23;17;20.2;0;0;4;4;50;2.5;0;0;30;6;7;5;1163718822
593;ResourcesMatch;0;0;0;93;33;18.2;12;41.9;1;3;6.33;6;6;2.03;3;22;2;0;0;3;0;0;0;0;4;1;0;6;18;0;0;4;46;13;13;14;23.3;0;0;3;3;30;2.2;0;0;19;3;2;4;1178950106
594;ResourceUtils;0;0;0;571;244;17.6;161;35.4;2;6.5;15.23;30;6;2.79;5.38;237;51;3;13;34;5;2;0;5;14;1;0;20;94;89;8;10;345;94;94;143;29.3;0;54;24;23;302;2.9;1;0;187;10;12;25;1191576730
595;Restrict;0;0;0;148;54;18.5;37;39.9;2;4.5;3.89;4;6;1.91;2.11;35;6;9;0;0;0;0;0;0;10;0;2;7;26;0;7;9;76;26;26;22;22.4;0;0;2;2;35;1.5;0;0;35;9;8;10;1160168890
596;Retry;0;0;0;89;32;12.5;23;43.8;1;3;7;4;5;2.53;2.33;23;1;2;0;2;1;0;0;1;4;0;0;5;20;0;0;4;43;8;8;10;18.9;0;0;3;3;45;3.5;0;0;21;3;2;5;1186942859
597;Retryable;0;0;0;38;5;0;0;73.7;1;1;0;0;1;0.4;0;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;1;6;0;0;6;50;0;0;2;2;15;8.3;0;0;0;2;1;5;1163720250
598;RetryHandler;0;0;0;74;22;18.2;3;47.3;1;2;6.5;6;5;2.23;3.5;14;1;2;0;1;0;0;0;0;2;1;0;2;9;0;1;2;32;7;7;10;23.8;0;0;1;1;5;0.5;0;0;12;3;2;4;1163371140
599;Reverse;0;0;0;71;15;6.7;4;56.3;1;4;1.25;2;3;1.13;1.25;14;0;2;0;0;0;0;0;0;4;0;0;3;8;4;2;3;23;7;7;13;36.1;0;0;2;2;10;1.4;0;0;5;3;4;4;1157136567
600;RExecTask;0;0;0;474;177;20.3;101;40.5;5;4.8;5.21;16;8;3.03;3.04;148;33;5;8;5;11;1;0;11;13;0;0;4;14;78;4;11;247;75;15;98;28.4;0;54;25;23;298;4;2;0;113;18;15;14;1190392423
601;Rmic;12;0;12;717;240;16.2;97;44.6;2;24;3.02;17;6;2;1.94;154;25;7;5;10;4;0;1;4;48;0;0;20;115;962;8;44;332;65;32.5;197;37.2;0;0;13;12;166;1.7;0;1;135;17;18;103;1191576730
602;RmicAdapter;0;9;9;67;10;0;0;71.6;1;4;0;0;1;0.4;0;2;0;0;0;0;0;0;0;0;4;1;0;4;4;6;3;4;11;0;0;18;62.1;0;0;1;1;5;1.5;0;0;0;5;4;29;1163873435
603;RmicAdapterFactory;0;3;3;106;27;22.2;17;53.8;1;3;5;9;3;1.56;3.67;21;8;0;0;0;0;0;0;0;3;1;0;9;18;3;1;1;38;16;16;30;44.1;0;0;3;3;24;2.1;0;0;15;2;3;31;1163873435
604;Rotate;0;0;0;118;49;10.2;27;41.5;1;4;8.75;4;4;2.14;2.25;40;4;0;0;9;1;1;0;1;5;0;0;3;6;10;2;5;59;11;11;21;26.3;0;0;15;15;127;7.2;0;0;35;5;4;16;1163873752
605;Rpm;0;0;0;367;143;18.9;71;37.9;1;14;6.57;23;5;2.09;3.29;114;20;5;5;20;1;0;0;1;16;0;0;15;64;76;0;13;189;38;38;62;24.7;0;0;5;3;47;0.8;2;0;84;3;4;64;1186942471
606;RuntimeConfigurable;2;0;2;475;133;21.1;71;48.4;1;21;4.29;7;5;1.71;1.57;118;14;27;7;2;5;0;1;5;25;1;0;10;72;182;12;22;197;58;58;132;40.1;0;0;25;22;227;3.8;3;0;82;16;17;70;1183915405
607;Scale;0;0;0;178;84;16.7;40;29.8;2;4.5;6.89;9;4;2.12;2.78;48;2;0;0;14;5;0;0;5;9;0;0;4;10;36;2;9;105;25;12.5;21;16.7;0;0;9;9;59;1.9;0;0;58;8;6;17;1163873752
608;SchemaValidate;0;0;0;528;198;13.6;94;38.8;2;15;4.4;8;5;2.2;2.17;91;11;13;0;7;0;0;0;0;17;0;0;3;58;108;0;9;262;81;40.5;116;30.7;0;0;16;16;148;1.9;0;0;124;14;22;13;1190220821
609;Scp;0;0;0;421;198;20.7;123;24.2;1;22;7.05;16;6;2.43;3.18;115;19;7;2;20;8;0;0;8;23;0;0;5;24;253;0;13;280;70;70;55;16.4;0;0;8;7;76;0.9;1;0;143;12;21;27;1191269237
610;ScpFromMessage;0;0;0;246;113;13.3;59;24.8;1;9;9.56;10;5;2.26;2.78;107;16;0;2;22;3;0;0;3;9;0;1;3;10;36;1;5;164;32;32;32;16.3;0;0;8;8;43;0.9;0;0;87;6;9;20;1190731120
611;ScpFromMessageBySftp;0;0;0;171;79;20.3;56;24.6;1;5;11.8;9;5;2.16;4.6;79;20;5;0;4;4;0;0;4;5;0;0;6;6;10;0;3;115;24;24;17;12.9;0;0;13;13;115;3.3;0;0;55;4;5;6;1190892690
612;ScpToMessage;0;0;0;289;119;10.1;70;28.7;1;15;5.8;6;5;2.06;1.8;96;14;0;0;14;3;0;0;3;15;0;1;4;16;105;1;9;171;26;26;44;20.5;0;0;1;1;5;0.1;0;0;85;8;13;20;1190731120
613;ScpToMessageBySftp;0;0;0;245;97;15.5;52;29;1;13;5.31;5;5;2.09;2.15;56;6;2;0;3;3;0;0;3;13;0;0;6;14;78;0;7;148;29;29;36;19.6;0;0;5;5;40;0.9;0;0;63;6;11;6;1190731120
614;Script;0;0;0;132;31;0;14;58.3;1;10;1.1;1;2;1.06;1;16;1;1;0;0;0;0;0;0;11;0;0;8;26;0;0;11;42;10;10;29;40.8;0;0;1;1;5;0.4;0;0;11;11;10;56;1165186544
615;ScriptCondition;0;0;0;68;13;0;4;66.2;1;3;1.67;1;2;1.08;1;7;1;0;0;1;0;0;0;0;4;0;0;3;8;0;0;4;17;2;2;16;48.5;0;0;1;1;5;1;0;0;5;2;1;6;1183043644
616;ScriptDef;0;0;0;405;138;13.8;76;39.8;3;6.33;4.42;15;4;1.87;2.16;70;7;3;5;5;0;0;0;0;16;0;0;15;72;40;1;15;197;45;15;77;28.1;0;0;9;9;96;1.6;0;0;82;16;14;28;1183035271
617;ScriptDefBase;0;0;0;131;43;9.3;25;45;1;7;3.29;3;3;1.42;1.57;27;6;2;0;1;0;0;0;0;8;0;0;5;25;16;1;7;57;14;14;24;29.6;0;0;1;1;5;0.3;0;0;23;6;6;15;1162767017
618;ScriptFilter;0;0;0;168;43;2.3;15;56;1;12;1.5;2;3;1.21;1.08;17;0;1;0;0;0;0;0;0;13;0;0;8;26;0;0;12;57;12;12;39;40.6;0;0;1;1;5;0.3;0;0;18;10;10;16;1165528137
619;ScriptFixBSFPath;0;0;0;146;39;15.4;23;37.7;1;3;7;7;3;1.62;3;33;8;0;0;3;0;0;0;0;5;1;0;3;17;8;1;2;73;16;16;30;29.1;0;0;3;3;19;0.9;0;0;23;2;3;2;1167002122
620;ScriptMapper;0;0;0;93;21;9.5;10;54.8;1;5;2;3;3;1.38;1.4;20;2;3;0;0;0;0;0;0;7;0;0;3;16;13;0;6;28;8;8;19;40.4;0;0;6;5;47;5.6;0;1;9;6;5;6;1163720163
621;ScriptRunner;0;0;0;179;79;16.5;53;30.7;1;7;8.29;4;4;2.08;2.86;56;10;1;0;3;3;0;1;3;8;0;1;5;9;28;1;5;4;0;0;3;42.9;0;0;3;3;20;16.7;0;0;0;1;0;28;1162767620
623;ScriptRunnerBase;0;0;0;363;120;10;64;44.9;1;23;3;4;4;1.62;1.57;50;6;2;1;4;4;0;0;4;28;1;2;6;66;326;10;22;160;35;35;86;35;0;0;4;4;40;0.8;0;0;63;14;19;8;1188833385
624;ScriptRunnerCreator;0;0;0;133;55;18.2;25;35.3;1;3;11.33;9;3;1.76;5.33;41;4;2;0;3;0;0;0;0;3;1;0;6;19;0;1;2;75;25;25;22;22.7;0;0;4;4;50;2.2;0;0;33;3;3;7;1182978393
625;ScriptRunnerHelper;0;0;0;203;68;11.8;22;44.8;1;16;2.19;6;3;1.53;1.5;48;9;2;0;0;1;0;0;1;17;1;0;10;35;88;5;14;93;18;18;36;27.9;0;0;1;1;5;0.2;0;0;34;7;9;5;1186942301
626;ScriptSelector;0;0;0;223;60;1.7;19;54.3;1;16;1.75;2;3;1.32;1.06;25;0;1;0;0;0;0;0;0;17;0;0;8;32;16;0;16;78;13;13;52;40;0;0;1;1;5;0.2;0;0;28;11;11;6;1165186676
627;SecureInputHandler;0;0;0;60;17;11.8;9;55;1;2;5.5;3;4;2.06;2;12;1;1;0;0;1;1;0;1;2;0;0;4;14;1;0;2;23;4;4;10;30.3;0;0;3;3;20;2.9;0;0;9;2;2;2;1186839507
628;SelectorContainer;0;0;0;186;29;0;0;68.8;1;24;0;0;1;0.83;0;3;0;0;1;0;0;0;0;0;24;1;0;20;24;276;4;24;30;0;0;56;65.1;0;0;1;1;5;0.6;0;0;0;25;24;15;1157136567
629;SelectorScanner;0;2;2;49;5;0;0;77.6;1;3;0;0;1;0.6;0;1;0;0;0;0;0;0;0;0;3;1;0;1;3;3;2;3;6;0;0;9;60;0;0;1;1;5;2.8;0;0;0;4;3;10;1157136567
630;SelectorUtils;0;15;15;681;267;30.7;74;36.3;1;19;12.53;31;7;2.76;5.79;239;24;7;14;36;1;1;0;1;20;1;0;3;49;182;8;15;391;137;137;172;30.6;0;64;52;52;688;5.9;0;0;248;15;18;31;1191996399
631;SelectSelector;0;0;0;211;68;19.1;45;43.6;1;13;3.69;5;4;1.99;2.23;48;11;2;0;0;0;0;0;0;13;0;0;4;34;68;6;12;97;36;36;44;31.2;0;0;3;3;30;1;0;0;48;10;11;15;1157136567
632;SendEmail;3;0;3;45;5;0;2;77.8;1;1;1;1;2;0.6;1;4;0;0;0;0;0;0;0;0;2;0;0;1;5;1;0;2;7;1;1;11;61.1;0;0;4;4;25;11.9;0;0;1;2;1;34;1157136567
633;Sequential;0;0;0;65;14;7.1;6;64.6;1;2;2;2;3;0.93;1.5;13;2;1;0;0;0;0;0;0;3;0;0;3;10;0;0;3;18;3;3;16;47.1;0;0;2;2;25;4.6;0;0;4;3;2;26;1158254282
634;ServerDeploy;0;0;0;152;32;3.1;12;59.9;1;8;1.75;2;3;1.31;1.13;20;5;1;0;0;0;0;0;0;9;0;0;6;20;12;5;9;43;5;5;42;49.4;0;0;2;2;25;1.9;0;0;14;5;4;17;1157136567
635;Service;0;0;0;124;47;8.5;25;41.1;1;6;4.33;4;3;1.4;1.67;16;5;2;0;0;0;0;0;0;7;0;0;4;27;0;1;7;63;11;11;19;23.2;0;0;2;2;7;0.4;0;0;26;5;4;5;1163720163
636;SetProxy;0;0;0;282;95;12.6;43;45.7;2;6;5.25;13;5;2.58;2;84;27;6;4;13;0;0;0;0;11;0;0;3;24;17;0;10;122;18;9;69;36.1;0;0;3;3;21;0.6;0;0;61;5;7;33;1190286757
637;SignedSelector;0;0;0;58;14;7.1;7;63.8;1;2;3;2;3;1.14;1.5;11;0;1;0;0;0;0;0;0;3;0;0;4;11;0;0;3;18;4;4;11;37.9;0;0;1;1;5;0.9;0;0;6;3;2;5;1163718881
638;SignJar;2;0;2;500;150;17.3;59;46;1;18;5.61;18;5;1.99;2.83;73;8;1;5;7;1;0;1;1;20;0;0;9;56;150;0;15;203;64;64;127;38.5;0;0;3;3;41;0.7;0;0;98;13;16;81;1176034107
639;SimpleP4OutputHandler;0;0;0;96;21;28.6;14;59.4;1;2;6.5;10;4;1.81;5.5;18;8;1;0;0;0;0;0;0;2;0;1;5;14;0;13;2;30;11;11;31;50.8;0;0;3;3;15;1.7;0;0;12;3;2;27;1163199330
640;SingleCheckExecutor;0;0;0;47;9;0;3;53.2;1;2;1;1;2;0.67;1;4;0;0;0;0;0;0;0;0;3;1;0;3;7;3;2;3;14;2;2;6;30;0;0;1;1;5;1.2;0;0;2;3;2;6;1162680620
641;Size;0;0;0;38;5;0;2;73.7;1;1;1;1;2;0.6;1;18;0;0;0;2;1;0;1;1;2;0;0;2;4;1;0;1;7;1;1;7;50;0;0;1;1;5;2.4;0;0;1;1;1;4;1157136567
643;SizeLimitCollection;0;0;0;70;18;5.6;5;52.9;1;4;2.25;2;3;1.39;1.25;17;1;3;0;0;0;0;0;0;5;0;2;3;9;4;2;4;25;5;5;10;28.6;0;0;1;1;5;0.7;0;0;9;2;2;1;1172852741
644;SizeSelector;0;0;0;279;100;21;36;45.9;3;3;6.67;12;6;2.16;3.67;78;20;1;4;0;0;0;0;0;8;0;0;5;30;0;6;8;130;33;11;80;38.1;0;0;5;5;52;1.3;0;0;58;10;8;17;1187802595
645;Sj;0;0;0;61;14;0;8;55.7;1;2;3.5;2;2;1.14;1.5;10;4;0;0;1;0;0;0;0;3;0;0;4;12;3;1;2;18;3;3;10;35.7;0;0;1;1;5;0.9;0;0;7;2;2;24;1163873487
646;Sleep;0;0;0;193;42;11.9;10;52.3;1;10;2.2;4;4;1.74;1.5;26;0;1;0;1;0;0;0;0;10;0;0;2;20;21;0;9;62;11;11;41;39.8;0;0;3;2;10;0.5;1;0;19;4;5;28;1190210855
647;SmtpResponseReader;0;0;0;106;29;13.8;20;53.8;1;5;3.2;5;3;1.59;2.2;15;2;1;0;0;1;0;0;1;5;1;0;0;19;0;1;3;40;11;11;25;38.5;0;0;2;2;25;2.1;0;0;17;4;5;23;1190731809
648;Socket;0;0;0;86;29;17.2;5;45.3;1;3;6;6;5;1.83;2.67;15;0;0;0;2;0;0;0;0;4;0;0;3;13;0;1;4;40;9;9;11;21.6;0;0;4;4;40;3.3;0;0;15;2;1;42;1157136567
649;Sort;0;0;0;151;75;13.3;30;27.8;4;2.5;3.9;4;5;2.16;2.1;66;3;14;0;1;1;0;0;1;4;0;0;9;20;0;1;2;99;25;6.3;15;13.2;6;0;9;9;57;1.9;0;0;38;8;10;11;1169941237
650;SOS;0;0;0;478;158;10.8;94;46.2;1;36;2.56;5;5;1.75;1.47;104;27;1;0;2;0;0;0;0;38;0;4;12;68;601;4;13;212;55;55;106;33.3;0;0;3;2;20;0.3;0;1;87;3;27;26;1190392423
651;SOSCheckin;0;0;0;101;26;11.5;29;58.4;1;4;4.75;4;3;1.96;1.75;16;9;1;0;0;0;0;0;0;5;0;0;3;17;10;0;4;33;6;6;26;44.1;0;0;1;1;5;0.5;0;0;18;4;4;16;1157136567
652;SOSCheckout;0;0;0;85;21;9.5;22;60;1;3;5;3;3;1.9;1.67;16;7;1;0;0;0;0;0;0;4;0;0;3;14;6;0;3;26;4;4;20;43.5;0;0;1;1;5;0.6;0;0;14;3;3;15;1157136567
653;SOSCmd;0;0;0;81;28;0;0;61.7;1;0;0;0;1;0.93;0;34;0;27;0;0;0;0;0;0;0;1;0;0;0;0;1;0;29;0;0;30;50.8;0;0;3;2;15;1.7;0;1;0;1;0;13;1186942471
654;SOSGet;0;0;0;116;31;12.9;36;56.9;1;5;4.6;5;4;2.19;1.8;21;11;1;0;0;0;0;0;0;6;0;0;3;20;15;0;5;40;8;8;29;42;0;0;1;1;5;0.4;0;0;22;5;5;15;1157136567
655;SOSLabel;0;0;0;91;24;8.3;26;54.9;1;4;4;3;3;1.63;1.5;13;7;0;0;0;0;0;0;0;5;0;0;5;18;10;0;4;31;7;7;17;35.4;0;0;1;1;5;0.5;0;0;16;4;4;14;1157136567
656;SoundTask;0;0;0;192;63;15.9;29;43.8;2;5.5;3.45;7;7;2.57;1.91;49;7;3;0;1;1;1;0;1;5;0;0;5;16;0;1;5;85;16;8;35;29.2;0;0;7;7;52;2;0;0;35;9;8;30;1157136567
657;SourceFileScanner;0;0;0;172;41;7.3;16;57.6;2;3.5;3.43;3;5;1.62;1.43;50;4;0;0;6;0;0;0;0;7;1;0;9;19;11;8;6;60;10;10;61;50.4;0;0;2;2;25;1.4;0;0;22;7;6;54;1191455050
658;Specification;0;0;0;604;181;17.1;129;39.7;1;19;6.95;11;6;2.11;3.05;87;15;4;2;5;1;0;0;1;20;1;0;4;54;138;1;13;295;68;68;125;29.8;0;14;17;17;155;1.8;0;0;132;8;13;18;1176034046
659;SplashScreen;0;0;0;134;79;5.1;43;12.7;1;12;3.67;3;3;1.39;1.33;50;1;2;0;0;0;0;0;0;12;5;0;2;39;58;1;11;94;14;14;0;0;9;0;2;2;10;0.4;0;0;42;9;12;15;1190628000
660;SplashTask;0;0;0;248;114;16.7;61;28.2;1;9;9.22;25;6;2.82;3.67;93;23;2;6;10;1;1;0;1;11;0;0;6;53;23;0;9;148;25;25;35;19.1;0;0;18;10;135;3;5;3;73;2;2;22;1190298376
661;SQLExec;0;0;0;784;291;18.2;151;39.2;4;8.25;6;17;7;2.63;2.97;220;35;26;11;26;2;0;0;2;28;0;0;14;117;280;1;21;397;93;23.3;168;29.7;0;0;35;32;365;3.1;3;0;185;15;18;116;1182978163
662;SSHBase;0;0;0;223;64;3.1;21;49.8;1;18;1.72;4;3;1.41;1.17;28;2;1;0;2;6;0;0;6;18;0;2;6;19;153;2;16;85;12;12;47;35.6;0;0;1;1;5;0.2;0;0;31;8;9;15;1157136567
663;SSHExec;0;0;0;313;149;24.8;74;28.8;1;12;9.17;23;7;2.81;4.91;101;22;1;7;8;7;0;0;7;10;0;0;4;11;45;0;8;199;50;50;46;18.8;0;0;12;12;160;2.7;0;0;95;3;4;33;1191576730
664;SSHUserInfo;0;0;0;216;55;1.8;3;50.9;1;20;1.3;4;3;1.42;1.15;34;0;0;0;2;5;0;0;5;20;1;0;0;21;190;1;20;81;15;15;53;39.6;0;0;3;3;40;1.6;0;0;26;12;11;17;1164057430
665;StreamPumper;0;0;0;180;65;12.3;12;43.3;1;10;4;8;5;2.02;1.9;53;0;5;0;2;2;0;0;2;10;1;0;0;18;21;6;8;88;17;17;35;28.5;0;0;4;3;20;0.8;1;0;38;6;7;39;1190891121
666;StringCPInfo;0;0;0;74;15;0;8;59.5;1;4;1.5;1;2;1.13;1;7;2;1;0;0;0;0;0;0;4;0;0;4;16;0;1;4;21;4;4;15;41.7;0;0;2;2;10;1.6;0;0;6;5;4;18;1157136567
667;StringInputStream;0;0;0;49;8;0;4;65.3;1;2;1;1;2;0.75;1;4;0;0;0;0;0;0;0;0;2;0;0;1;5;1;0;2;11;2;2;6;35.3;0;0;1;1;5;1.5;0;0;2;3;2;23;1165207910
668;StringResource;0;0;0;260;83;10.8;56;43.8;2;10.5;2.19;3;3;1.61;1.48;56;12;14;0;0;4;1;0;4;22;0;0;6;49;187;3;17;118;39;19.5;55;31.8;1;0;6;5;25;0.7;1;0;45;17;20;12;1184706083
669;StringTokenizer;0;0;0;153;66;25.8;16;36.6;1;7;6.71;15;7;2.52;3.57;58;9;1;4;5;0;0;0;0;8;0;1;3;18;2;1;7;88;20;20;24;21.4;0;21;8;8;121;4.6;0;0;44;3;3;3;1190626826
670;StringUtils;0;19;19;274;133;37.6;58;38.3;1;10;11.2;13;6;3.14;4.1;92;16;4;2;11;0;0;0;0;11;1;0;0;38;55;41;9;156;40;40;64;29.1;0;0;15;13;175;3.7;0;2;90;10;10;29;1190626679
671;StripJavaComments;0;0;0;145;47;31.9;10;46.9;1;4;9;19;9+;3.98;5.5;29;0;2;4;2;0;0;0;0;4;0;0;2;7;0;1;4;65;19;19;28;30.1;0;0;6;6;53;2.7;0;0;34;5;4;26;1176034107
672;StripLineBreaks;0;0;0;153;40;20;16;53.6;1;7;3.57;5;5;1.83;2.14;17;6;0;0;1;0;0;0;0;7;0;0;3;17;0;1;5;59;13;13;34;36.6;0;0;1;1;5;0.3;0;0;26;5;6;25;1157136567
673;StripLineComments;0;0;0;236;65;23.1;28;50.4;2;5.5;3.91;12;6;2.34;2.36;36;11;1;0;3;0;0;0;0;8;0;0;4;26;0;1;5;94;24;12;59;38.6;0;30;6;6;95;3.4;0;0;42;9;10;27;1178836527
674;StyleBook;0;0;0;123;34;11.8;17;48;1;6;3.17;5;3;1.53;1.67;19;4;0;0;0;0;0;0;0;6;0;0;3;19;7;0;6;46;13;13;28;37.8;0;0;8;8;28;2;0;0;19;7;6;32;1163720395
675;SubAnt;0;0;0;607;216;24.5;121;41.7;1;30;5.17;26;6;2.36;3;163;21;11;7;10;0;0;0;0;31;0;0;15;109;365;0;27;304;87;87;137;31.1;0;0;17;14;193;2.1;0;3;143;19;22;28;1162508579
676;SubBuildListener;0;0;0;58;4;0;0;84.5;1;2;0;0;1;0.5;0;3;0;0;0;0;0;0;0;0;2;1;0;2;2;1;5;2;5;0;0;20;80;0;0;1;1;5;3.3;0;0;0;3;2;2;1157136567
677;Substitution;0;0;0;77;15;6.7;4;61;1;4;1.5;2;3;1.27;1.25;12;1;0;0;0;0;0;0;0;4;0;0;2;7;0;3;4;21;5;5;20;48.8;0;0;1;1;5;0.8;0;0;6;4;3;34;1186761534
678;SummaryJUnitResultFormatter;0;0;0;179;66;10.6;44;40.8;1;12;3.33;10;5;1.79;1.83;62;2;6;2;2;2;0;0;2;12;1;1;6;31;46;2;12;89;20;20;30;25.2;0;0;12;12;111;4.2;0;0;36;8;8;30;1190628000
679;SunJavah;0;0;0;123;58;22.4;64;26;1;2;23;12;4;2.02;8;61;33;0;5;7;0;0;0;0;3;1;0;11;38;3;1;2;76;18;18;10;11.6;0;0;4;4;48;2.1;0;0;44;2;2;6;1163720395
680;SunNative2Ascii;0;0;0;70;25;16;12;41.4;1;2;5.5;2;4;1.56;2;17;3;0;0;0;0;0;0;0;3;0;0;6;18;3;1;1;36;10;10;7;16.3;0;0;1;1;5;0.5;0;0;13;1;2;5;1163873116
681;SunRmic;0;0;0;113;40;12.5;22;39.8;1;2;4.5;1;3;1;1;23;4;2;0;2;0;0;0;0;3;0;0;7;23;3;1;2;56;11;11;15;21.1;0;0;6;5;56;3.3;1;0;18;2;2;35;1168524170
682;Symlink;0;0;0;595;200;5;174;42.7;2;2.5;32.6;4;7;4.1;2.5;174;33;6;1;10;3;0;1;3;23;0;0;12;97;181;0;16;312;67;67;161;34;0;0;27;26;350;3.7;1;0;159;11;16;34;1190210707
683;Sync;0;0;0;472;161;13;100;42.2;3;8;4.75;8;5;2.16;1.92;99;15;3;0;7;6;4;2;6;18;0;0;12;80;61;1;12;218;51;17;120;35.5;0;0;3;3;25;0.4;0;0;113;18;24;30;1163873635
684;TabsToSpaces;0;0;0;154;43;18.6;15;51.3;1;7;3.86;5;6;1.98;2.14;25;8;0;0;2;0;0;0;0;7;0;0;3;17;0;1;5;61;13;13;33;35.1;0;0;4;4;35;1.9;0;0;27;5;6;22;1176036216
685;TailFilter;0;0;0;242;82;23.2;39;43.8;1;10;5.5;12;6;2.32;3;60;19;3;5;0;0;0;0;0;10;0;0;4;29;0;1;6;114;32;32;52;31.3;0;60;7;7;82;2.4;0;0;56;5;8;32;1176036216
686;Tar;0;0;0;952;268;3.4;371;36.3;2;4.5;23.56;1;5;3.32;1;291;75;7;15;15;4;1;0;4;22;0;0;25;172;151;1;10;524;140;35;213;28.9;0;0;44;44;447;2.8;0;0;259;24;33;101;1190210855
687;TarBuffer;0;0;0;461;152;24.3;42;34.7;1;21;5.43;8;5;2.11;2.81;100;23;3;0;8;0;0;0;0;21;1;0;0;36;38;2;17;230;70;70;84;26.8;0;0;25;25;191;2.8;0;0;114;17;20;20;1157838477
688;TarConstants;0;0;0;158;27;0;0;64.6;1;0;0;0;1;0.93;0;29;0;26;0;0;0;0;0;0;0;1;0;0;0;0;1;0;28;0;0;30;51.7;0;0;2;2;15;1.8;0;0;0;1;0;22;1186942068
689;TarEntry;0;0;0;638;211;9;101;43.9;1;35;4.37;15;6;1.9;1.74;90;15;3;4;5;1;1;0;1;35;1;0;2;73;353;6;34;268;58;58;153;36.3;0;0;13;12;155;1.9;1;0;153;26;26;30;1157136567
690;TarFileSet;0;0;0;268;93;12.9;46;42.5;1;21;2.86;5;3;1.81;1.81;57;14;1;0;2;0;0;0;0;21;0;1;8;42;126;2;15;128;46;46;52;28.9;0;0;3;3;37;1;0;0;58;16;21;15;1164145886
691;Target;0;0;0;451;128;14.8;63;51;1;28;2.96;8;6;2;1.82;82;12;2;1;4;0;0;0;0;28;1;0;6;62;200;31;24;180;50;50;128;41.6;0;0;5;5;42;0.8;0;0;79;14;18;79;1184693253
692;TarInputStream;0;0;0;397;139;20.9;49;37.5;1;15;7.07;18;4;2.34;3.07;111;17;2;6;8;2;0;1;2;15;3;0;2;42;69;3;15;192;51;51;82;29.9;0;0;26;25;186;3.2;1;0;105;16;15;31;1190731809
693;TarOutputStream;0;0;0;355;112;14.3;45;42.8;1;15;5.2;7;4;2.25;2.07;71;16;0;0;0;2;1;0;2;15;3;0;2;39;41;1;14;155;32;32;87;36;0;0;12;11;55;1.2;0;1;77;15;15;29;1163872718
694;TarResource;0;0;0;194;85;15.3;64;33.5;1;11;5.27;5;5;1.86;2.18;58;17;2;0;5;1;0;0;1;11;0;0;6;49;21;2;9;112;36;36;26;18.8;0;0;4;4;30;0.9;0;0;56;9;11;6;1162767097
