;Class;Source;Target;Total;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;Creation
508;P4OutputHandler;0;0;0;34;4;0;0;76.5;1;1;0;0;1;0.25;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;5;0;0;5;50;0;0;2;2;7;4.7;0;0;0;2;1;12;1157136567
509;P4OutputStream;0;0;0;85;25;16;9;48.2;1;4;3.25;5;4;1.52;2.25;20;0;2;0;3;1;0;0;1;4;2;0;1;12;0;1;3;33;8;8;13;28.3;0;0;4;4;16;1.6;0;0;12;4;4;7;1157136567
510;P4Reopen;0;0;0;60;12;16.7;5;60;1;2;3;3;3;1.42;2.5;5;0;0;0;0;0;0;0;0;3;0;0;4;11;0;0;3;17;7;7;10;37;0;0;2;2;15;2.9;0;0;6;3;2;25;1157136567
511;P4Resolve;0;0;0;187;64;21.9;15;45.5;1;11;3.55;12;4;1.8;2.27;29;1;0;4;1;0;0;0;0;13;0;0;4;22;56;0;12;92;18;18;42;31.3;0;0;2;2;18;0.7;0;0;39;3;2;12;1157136567
512;P4Revert;0;0;0;85;18;16.7;4;56.5;1;3;3.33;3;3;1.56;2.33;13;0;0;0;0;0;0;0;0;4;0;0;4;13;0;0;4;25;7;7;17;40.5;0;0;2;2;15;2;0;0;10;3;2;25;1157136567
513;P4Submit;0;0;0;154;48;20.8;28;51.9;2;3;5.5;9;8;3.4;2.67;43;12;1;0;6;3;0;0;3;5;0;0;4;12;8;1;5;66;15;7.5;37;35.9;0;0;9;9;71;3.6;0;0;31;7;4;33;1163199330
514;P4Sync;0;0;0;107;21;19;8;57;1;3;4;4;3;1.57;3.33;18;0;1;0;0;0;0;0;0;4;0;0;4;14;0;0;4;29;12;12;31;51.7;0;0;5;5;35;4;0;0;12;4;3;31;1163199330
515;Pack;0;0;0;210;72;16.7;47;40.5;1;12;3.67;4;3;1.68;2;39;7;1;0;2;1;1;0;1;14;0;2;6;41;83;2;8;105;29;29;38;26.6;0;0;2;2;15;0.5;0;0;41;7;12;35;1190027628
516;PackageNameMapper;0;0;0;46;6;0;3;73.9;1;1;2;1;2;0.83;1;6;1;0;0;0;0;0;0;0;2;0;0;1;6;1;0;1;9;1;1;11;55;0;0;1;1;5;1.9;0;0;2;1;1;12;1157136567
517;Parallel;0;0;0;490;192;18.8;63;35.9;4;5;7;25;8;2.83;3.2;162;26;20;6;15;2;1;0;2;19;0;0;8;55;119;2;9;258;67;22.3;106;29.1;0;0;20;15;208;2.7;4;1;131;8;14;41;1190203246
518;Parameter;0;0;0;82;17;0;0;62.2;1;6;1;1;2;1.24;1;8;0;0;0;0;0;0;0;0;7;1;0;0;8;3;24;7;24;0;0;13;35.1;0;0;1;1;5;0.7;0;0;6;1;0;12;1157136567
519;Parameterizable;0;0;0;31;3;0;0;83.9;1;1;0;0;1;0.33;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;3;1;4;0;0;3;42.9;0;0;2;2;7;5.8;0;0;0;2;1;14;1157136567
520;ParseNextProperty;0;0;0;40;6;0;0;72.5;1;2;0;0;1;0.33;0;1;0;0;0;0;0;0;0;0;2;1;0;1;2;1;4;2;7;0;0;8;53.3;0;0;1;1;5;2.4;0;0;0;3;2;1;1190634994
521;ParseProperties;0;0;0;153;63;23.8;41;35.3;1;7;6.71;11;4;2.13;3.57;52;14;0;0;1;0;0;0;0;7;1;0;4;28;11;2;5;89;29;29;23;20.5;0;0;3;3;36;1.3;0;0;46;5;6;1;1190634994
522;ParserSupports;0;0;0;151;63;14.3;16;37.1;1;7;5.29;7;3;1.68;2.57;24;2;0;0;0;0;0;0;0;8;0;0;5;19;8;0;7;83;23;23;25;23.1;0;0;8;8;76;3.1;0;0;33;4;4;6;1163022885
523;Patch;0;0;0;187;65;23.1;49;40.1;1;10;4.3;10;4;1.88;2.6;43;16;3;0;0;0;0;0;0;11;0;0;10;39;0;0;11;94;28;28;33;26;0;0;2;2;17;0.6;0;0;40;9;8;48;1157136567
524;Path;0;12;12;751;237;13.1;243;38.5;2;16;5.91;3;3;1.66;1.52;163;32;13;1;8;5;1;0;5;36;0;0;14;123;530;102;28;396;122;61;178;31;0;0;22;20;251;2.1;0;2;192;35;38;115;1185315719
525;PathConvert;2;0;2;487;160;15;72;44.6;3;7.67;4.52;15;6;2.2;2.22;128;21;9;7;11;2;0;1;2;21;0;0;12;61;144;1;15;220;58;19.3;122;35.7;0;0;11;11;116;1.8;0;0;103;15;17;68;1162680307
526;PathTokenizer;2;0;2;165;51;35.3;30;49.1;1;3;12.67;24;8;3.08;9.67;52;18;7;4;2;0;0;0;0;3;1;0;1;18;0;2;3;71;24;24;42;37.2;0;0;7;7;74;3.5;0;0;32;4;3;34;1157136567
527;PatternSet;0;0;0;511;211;22.7;153;34.1;3;11;4.76;9;6;2.49;2.76;186;49;10;1;6;2;0;0;2;23;0;1;7;64;155;11;18;299;109;36.3;83;21.7;2;0;24;24;310;3.5;0;0;153;24;29;75;1186942301
