;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total
111;ChangeEntryTypeMenu;0;0;0;0;2;0;0;4;29;5;1;0;13;34;10;3;3;85;56;8.9;56;10.6;1;5;6;4;4;1.36;2;247;66;9;9;7;9.6;5;0;1;1;5;0.3;0;0;31;5;5;12;1448029383;0;0;0
112;ChangeScanner;0;0;1;1;38;25;1;70;264;16;1;0;40;113;16;3;4;510;258;23.3;251;15.5;1;12;16.58;25;9+;3.11;5.6;19;361;88;44;57;13.6;6;0;12;12;181;1.7;0;0;209;6;13;92;1364106558;23;0;23
113;ChangeTypeAction;0;0;0;0;0;0;0;0;11;2;2;0;2;5;0;1;2;25;14;0;4;0;1;2;2;1;2;0.86;1;142;18;2;2;0;0;2;0;1;1;5;0.9;0;0;4;2;2;5;1448029383;0;0;0
114;CheckBoxMessage;0;0;0;0;0;0;0;0;14;2;5;0;0;17;0;6;2;52;26;0;12;28.8;1;2;7;1;2;1.19;1;317;29;2;2;0;0;3;0;1;1;5;0.6;0;0;14;3;2;17;1364106558;0;0;0
115;CheckForNewEntryTypesAction;0;0;0;1;3;0;0;11;36;3;1;0;15;37;3;1;3;79;35;14.3;38;26.6;1;2;9;4;4;1.31;3.5;329;50;7;7;4;7.4;0;0;1;1;5;0.3;0;0;20;1;2;31;1364106558;0;0;0
116;CitationEntry;0;0;0;0;0;0;0;1;35;12;1;0;0;20;32;5;12;92;40;10;14;20.7;1;11;2;4;3;1.6;1.36;608;58;14;14;4;6.5;5;0;1;1;5;0.3;0;0;21;5;7;4;1459277251;0;0;0
117;CitationManager;0;1;0;1;4;0;0;4;80;9;1;0;26;69;12;4;2;254;132;0.8;151;7.1;2;1;42;0;4;1.81;0;257;196;26;6.5;1;0.5;2;15;14;14;530;9;0;0;88;2;9;46;1364106558;0;0;0
118;CiteSeerXFetcher;0;0;0;0;6;0;0;20;68;10;1;0;10;37;33;1;6;176;88;13.6;46;14.8;1;8;6.13;6;5;1.75;2.63;357;122;24;24;8;6.2;1;0;1;1;5;0.1;0;0;50;1;8;44;1364106558;3;0;3
119;CleanupAction;0;0;0;0;2;0;0;15;63;6;0;0;17;46;0;1;4;178;99;20.2;60;14.6;1;6;11.17;9;4;1.95;3.83;143;132;28;28;7;5;2;0;2;2;17;0.4;0;0;66;2;6;17;1454074650;0;0;0
120;CleanupActionsListModel;0;0;0;0;6;0;0;0;35;10;1;0;2;27;0;3;10;81;39;12.8;20;6.2;1;9;2;4;4;1.44;1.67;163;59;14;14;3;4.8;4;0;1;1;5;0.3;0;0;21;5;8;2;1460579183;0;0;0
121;CleanupJob;0;0;0;0;0;0;0;0;2;1;1;0;1;1;0;9;1;30;6;0;0;53.3;1;1;0;0;1;0.17;0;441;8;0;0;1;11.1;1;0;1;1;5;2.1;0;0;0;2;1;3;1450622804;0;0;0
122;CleanupPreset;0;0;0;0;0;2;0;8;43;16;1;0;3;32;112;5;15;157;70;11.4;55;14;2;8;2.69;9;3;1.61;1.56;442;107;24;12;3;2.7;16;0;1;1;5;0.2;0;0;43;16;15;9;1450622804;39;16;55
123;CleanupPresetPanel;0;0;0;0;0;0;0;28;64;6;1;0;13;44;0;1;3;141;92;12;98;0;1;5;12.2;9;4;1.67;3.2;164;116;13;13;0;0;3;0;1;1;5;0.1;0;0;60;3;4;14;1460579183;0;0;0
124;CleanupWorker;0;0;0;0;1;2;0;3;28;4;1;0;13;33;2;2;3;90;47;19.1;36;14.4;1;4;7.5;9;3;1.66;3.25;443;62;12;12;0;0;3;0;1;1;5;0.3;0;0;31;3;3;12;1450622804;0;0;0
125;ClearFormatter;0;0;0;0;0;0;0;0;8;6;1;0;2;9;15;5;6;36;16;0;3;0;1;5;1.2;1;2;1.06;1;457;27;5;5;0;0;1;0;1;1;5;0.6;0;0;6;1;5;4;1459521143;0;0;0
126;ClipBoardManager;0;0;0;0;3;0;0;14;39;6;1;0;9;38;3;7;5;129;62;11.3;34;31;1;4;8.75;4;5;2.13;2;97;77;15;15;16;17.2;2;0;2;2;15;0.6;0;0;31;4;4;20;1364106558;0;0;0
127;ColorSetupPanel;0;0;0;0;6;0;1;3;66;3;5;0;8;30;0;1;3;192;83;0;105;14.6;1;1;58;0;2;1.45;0;269;131;14;4.7;9;6.4;4;0;3;3;257;6.5;0;0;62;5;10;29;1364106558;0;0;0
128;CompleteRenderer;0;0;0;0;0;0;0;0;7;3;0;0;1;6;3;1;2;19;8;0;3;5.3;1;3;0.67;1;2;0.88;1;288;13;3;3;1;7.1;3;0;1;1;5;1.3;0;0;2;3;3;2;1441880421;0;0;0
129;CompositeFormat;0;0;0;0;3;0;1;1;15;4;1;0;1;10;0;3;4;59;17;11.8;3;40.7;1;4;1.75;3;4;1.29;1.5;547;25;6;6;4;13.8;2;0;1;1;5;0.7;0;0;8;3;4;16;1364106558;0;0;0
130;ConfirmCloseFileListEntryEditor;0;0;0;0;0;0;0;0;4;1;1;0;1;1;0;2;1;29;4;0;0;69;1;1;0;0;1;0.25;0;66;6;0;0;3;33.3;1;0;1;1;5;2.8;0;0;0;2;1;6;1364106558;0;0;0
131;ConnectionLostException;0;0;0;0;0;0;0;0;4;1;4;0;0;2;0;3;1;26;4;0;1;69.2;1;1;1;1;2;0.75;1;258;6;1;1;1;14.3;0;0;1;1;5;2.8;0;0;1;0;1;9;1364106558;0;0;0
132;ContainBasedSearchRule;0;0;0;1;6;0;2;6;33;5;1;0;4;19;2;4;4;78;31;19.4;13;24.4;1;4;4.75;7;5;1.97;2.5;636;44;10;10;2;4.3;1;0;1;1;5;0.4;0;0;20;2;3;13;1438262128;0;0;0
133;ContainsAndRegexBasedSearchRuleDescriber;0;0;0;0;1;0;0;0;28;3;1;0;4;22;0;2;2;70;33;12.1;26;21.4;1;3;6.67;4;4;1.67;2.67;642;45;10;10;0;0;2;0;1;1;5;0.4;0;0;20;2;3;21;1455726212;0;0;0
134;ContentAutoCompleters;0;0;0;0;1;0;2;2;25;5;0;0;9;24;10;7;5;42;22;9.1;12;9.5;1;3;3.67;2;3;1.32;1.67;424;29;5;5;2;6.5;2;0;3;3;25;2.9;0;0;13;3;3;27;1438214712;0;0;0
135;ContentSelectorDialog2;0;1;0;1;17;17;1;28;187;28;6;0;17;134;170;4;1;506;333;11.1;247;12.1;3;5.67;15;12;5;2.1;3.82;98;392;55;27.5;38;8.8;0;0;10;8;280;2.4;2;0;258;0;10;71;1364106558;0;0;0
136;ConversionMenu;0;0;0;0;0;0;0;0;7;2;7;0;4;17;1;1;1;45;15;6.7;11;51.1;1;1;6;2;3;1.13;2;191;18;2;2;3;14.3;1;0;2;2;245;45.4;0;0;8;2;1;9;1443733253;0;0;0
137;ConvertLegacyExplicitGroups;0;0;0;0;3;0;0;11;30;5;1;0;10;25;10;2;3;58;31;22.6;28;6.9;1;3;6.33;5;5;1.74;3.33;330;44;12;12;2;4.3;0;0;1;1;5;0.4;0;0;23;1;3;1;1461342498;3;0;3
138;Cookie;0;0;0;0;3;10;4;3;52;5;1;0;0;30;0;1;5;132;64;20.3;37;24.2;1;5;8.6;14;6;2.5;4.2;601;86;24;24;9;9.5;2;0;7;7;51;2;0;0;41;3;5;22;1364106558;0;0;0
139;CookieHandlerImpl;0;0;0;0;1;0;0;2;25;3;2;0;1;24;0;1;3;122;37;24.3;24;39.3;1;2;11.5;6;6;2.16;5.5;602;60;11;11;24;28.6;0;0;3;3;20;1.1;0;0;25;1;2;21;1364106558;0;0;0
140;CopacImporter;0;0;0;0;4;12;0;38;85;9;0;0;3;39;34;4;7;162;81;30.9;82;16;1;7;8.86;22;6;2.75;4.57;385;110;30;30;7;6;0;43;5;4;75;2.3;1;0;63;1;7;34;1364106558;0;0;0
141;CopyAction;0;0;0;0;4;0;1;2;19;2;2;0;4;12;0;1;2;38;25;12;15;0;1;2;6.5;6;4;1.52;3.5;144;31;7;7;0;0;2;0;1;1;5;0.5;0;0;13;2;2;11;1440761043;0;0;0
142;CopyVersionToClipboardAction;0;0;0;0;0;0;0;2;9;2;2;0;7;10;1;1;2;38;13;0;7;39.5;1;1;3;1;2;0.54;1;145;17;1;1;0;0;1;0;1;1;5;1;0;0;3;1;1;1;1461919483;0;0;0
143;CountingUndoManager;0;0;0;0;1;0;5;0;22;6;4;0;1;11;0;50;6;63;27;0;6;23.8;1;6;2;1;2;1.22;1;300;37;6;6;0;0;4;0;4;4;16;1.4;0;0;12;4;6;20;1364106558;0;2;2
144;CreateBibORDFAuthors;0;0;0;0;0;0;1;1;17;3;1;0;1;11;3;1;2;92;22;18.2;18;58.7;1;2;8.5;5;5;2.09;3;548;29;5;5;30;50.8;0;0;1;1;5;0.6;0;0;16;1;2;22;1364106558;0;0;0
145;CreateDocBookAuthors;0;0;0;0;4;4;0;20;45;4;1;1;4;19;4;2;3;91;28;25;48;42.9;1;2;10;12;5;2.39;6.5;549;40;12;12;17;29.8;1;0;2;2;16;1.3;0;0;19;2;2;44;1364106558;0;0;0
146;CreateDocBookEditors;0;0;0;0;0;0;0;0;8;2;0;0;2;7;1;0;2;56;8;0;4;71.4;1;1;4;1;2;1.13;1;550;11;1;1;18;62.1;0;0;1;1;5;1.5;0;0;4;1;1;19;1364106558;0;0;0
147;CrossRef;0;0;0;0;5;0;1;18;61;7;1;0;16;41;17;4;2;128;69;11.6;50;14.8;1;5;8.2;5;4;1.68;3.2;358;86;22;22;16;15.7;1;0;6;6;53;2.1;0;0;39;2;5;10;1449139568;0;0;0
148;CrossRefEntryComparator;0;1;0;1;2;0;1;0;18;3;1;0;1;7;3;1;3;51;16;25;2;45.1;1;1;10;7;3;1.63;7;435;22;10;10;6;21.4;0;0;3;3;15;2.3;0;0;9;1;1;26;1364106558;0;0;0
149;CrossrefFetcherEvaluator;0;0;0;1;2;0;1;15;49;2;1;0;7;26;1;0;2;86;60;13.3;42;3.5;2;1;21;9;8;2.75;8.5;359;69;7;7;1;1.4;1;0;14;14;160;7.7;0;0;38;2;1;1;1464174384;4;0;4
150;CurrentDate;0;0;1;1;3;0;1;1;14;2;1;0;1;8;1;1;2;60;11;9.1;5;65;1;1;4;0;3;1;0;551;15;4;4;8;34.8;0;0;1;1;5;1.1;0;0;4;1;1;16;1364106558;0;0;0
151;CustomEntryType;0;0;0;0;2;0;0;8;71;15;1;0;2;40;73;11;15;140;61;3.3;60;16.4;1;4;10.75;1;3;1.59;1;693;99;21;21;3;2.9;5;0;3;2;10;0.3;1;0;44;7;13;67;1364106558;0;9;9
152;CustomEntryTypesManager;0;0;0;1;1;0;1;4;12;4;1;0;5;17;4;5;3;54;28;10.7;12;24.1;1;2;7;3;4;1.43;2.5;415;34;5;5;9;20.9;1;0;3;2;35;3.4;0;1;14;3;2;17;1447365569;6;0;6
153;CustomExportDialog;0;0;0;0;1;0;0;3;57;8;6;0;10;62;0;2;6;217;139;3.6;94;13.4;2;4;12.63;6;4;1.66;2.13;41;157;19;19;12;7.1;4;0;3;3;250;5.3;0;0;99;4;6;43;1364106558;0;0;0
154;CustomExportList;0;0;0;0;1;0;0;19;54;13;1;0;9;51;36;4;7;136;75;13.3;52;16.2;1;11;3.45;4;4;1.8;1.64;42;94;17;17;5;5.1;6;0;1;1;5;0.2;0;0;45;7;9;34;1364106558;17;3;20
155;CustomImporter;0;0;0;1;1;0;2;4;49;20;1;0;1;34;114;5;20;142;59;0;22;22.5;2;9.5;1.37;2;3;1.32;1.05;332;85;16;16;2;2.3;10;0;3;3;27;1.1;0;0;26;11;14;7;1451580768;0;0;0
156;CustomImportList;0;2;0;2;1;0;0;13;34;7;4;0;5;25;17;5;3;103;37;10.8;21;40.8;1;6;3.5;3;4;1.59;1.67;331;48;10;10;8;14.3;2;0;3;3;55;3.8;0;0;20;4;6;30;1364106558;15;3;18
157;Database;0;0;0;0;0;0;0;0;7;5;1;0;3;5;10;5;5;23;10;0;0;0;2;2.5;0;0;1;0.6;0;727;14;0;0;0;0;7;0;3;3;45;10.7;0;0;0;7;5;1;1460967089;0;0;0
158;DatabaseExporter;3;0;2;10;43;14;14;76;265;16;1;0;30;123;102;4;5;474;234;16.2;191;23;1;22;8;12;7;2.44;3.76;734;318;65;65;62;16.3;1;0;23;21;212;2.2;0;2;175;6;14;5;1460967089;20;0;20
159;DatabaseFileLookup;0;0;0;0;1;0;0;3;20;3;1;0;10;26;0;1;2;100;35;5.7;20;43;1;4;3.5;3;3;1.06;1.5;333;43;6;6;19;30.6;0;0;1;1;5;0.4;0;0;17;1;3;49;1364106558;6;0;6
160;DatabaseImporter;3;0;0;4;18;16;0;47;164;8;1;0;26;94;18;3;3;307;155;19.4;142;22.5;1;13;8.15;15;9+;3.63;5.7;736;212;30;30;41;16.2;1;0;23;23;202;3.2;0;0;97;4;6;7;1460967089;0;0;0
161;DatabaseLabelPattern;0;0;0;0;0;0;0;2;7;2;0;0;4;5;1;5;2;29;6;0;2;51.7;1;1;1;1;2;0.5;1;517;9;1;1;0;0;1;0;1;1;5;1.9;0;0;1;1;1;7;1456089841;3;0;3
162;DatabasePropertiesDialog;0;3;0;3;1;15;1;55;151;10;6;0;20;100;15;2;3;300;200;12;187;7.7;2;4.5;15.78;18;4;1.78;3.67;167;231;27;27;8;3.3;3;0;4;4;268;3.9;0;0;132;3;7;100;1364106558;0;0;0
163;DatabaseSearcher;0;0;0;0;0;0;0;4;19;3;1;0;6;20;0;2;2;57;24;4.2;13;31.6;1;2;4;2;3;0.96;1.5;625;28;4;4;1;3.4;2;0;1;1;5;0.6;0;0;8;3;2;7;1450444750;0;0;0
164;DatabaseType;0;0;0;0;1;0;0;1;10;7;2;0;0;13;13;11;5;38;16;12.5;7;15.8;1;4;1.75;3;4;1.44;1.5;728;24;6;6;4;14.3;1;0;1;1;5;0.7;0;0;8;2;3;1;1460967089;0;0;0
165;DatabaseUtil;2;0;0;4;7;0;1;1;38;7;1;0;3;25;21;3;5;107;39;17.9;21;36.4;1;7;3.57;5;4;1.85;2.43;729;57;13;13;15;20.8;3;0;4;4;39;2.3;0;0;21;5;6;3;1460967089;5;0;5
166;DatePickerButton;0;0;0;0;0;0;0;0;14;3;1;0;4;18;0;1;3;65;29;3.4;14;29.2;1;3;3.67;2;3;1.03;1.33;166;35;3;3;4;10.3;2;0;3;2;10;1;1;0;11;2;2;22;1364106558;0;0;0
167;DbConnectAction;0;0;0;0;3;0;0;18;39;3;1;0;14;35;1;2;3;104;43;7;37;24;2;2.5;5.4;4;3;1.77;1.75;730;59;8;4;8;11.9;2;0;2;2;10;0.6;0;0;25;3;4;26;1364106558;0;0;0
168;DBConnectDialog;0;1;1;2;13;0;0;7;77;10;6;0;15;97;25;4;4;291;170;10.6;175;15.5;2;4;15.5;10;4;1.83;2.63;722;199;17;17;20;9.1;0;0;3;3;247;4.1;0;0;119;2;4;45;1191542029;0;0;0
169;DBExporterAndImporterFactory;0;0;0;0;0;0;0;0;10;5;1;0;6;13;8;4;3;60;22;40.9;6;35;1;1;5;0;4;1.78;0;723;30;10;10;2;6.3;3;0;1;1;5;0.6;0;0;8;3;2;9;1364106558;0;0;0
170;DbImportAction;0;0;1;2;4;0;0;28;83;10;0;0;25;72;27;2;5;220;120;14.2;78;18.6;2;5;7.6;10;7;2.34;2.89;737;153;25;12.5;24;13.6;2;0;7;6;65;1.4;0;1;71;3;9;66;1364106558;0;0;0
171;DBImporterResult;0;0;0;0;0;0;0;0;7;3;1;0;3;5;0;3;3;41;14;0;1;36.6;1;3;1.33;1;2;0.93;1;735;18;1;1;0;0;2;0;1;1;5;0.9;0;0;4;2;1;3;1451677384;0;0;0
172;DBImportExportDialog;0;0;0;1;7;0;1;1;84;20;1;0;8;72;154;6;11;261;150;4.7;90;10.3;5;3.8;5.16;6;5;1.74;1.47;724;187;23;11.5;10;5.1;10;0;17;17;97;1.7;0;0;93;11;14;28;1364106558;0;20;20
173;DBLPFetcher;0;0;1;1;8;10;0;19;77;8;1;0;11;42;20;1;6;174;81;11.1;39;16.1;1;6;8.5;10;8;2.46;2.5;360;104;15;15;12;10.3;1;0;2;2;15;0.5;0;0;54;1;6;36;1364106558;3;0;3
174;DBLPHelper;0;0;0;1;3;0;0;14;29;4;1;0;3;14;4;1;2;103;34;2.9;24;38.8;2;2;5;2;3;1.65;1.25;361;44;5;2.5;16;26.7;1;0;1;1;5;0.4;0;0;20;3;4;23;1364106558;0;0;0
175;DBStrings;0;0;0;0;0;0;1;0;22;12;1;0;3;15;42;12;11;101;37;0;7;35.6;1;12;1.42;1;2;1.38;1;725;50;4;4;9;15.3;1;0;1;1;5;0.3;0;0;17;4;4;23;1364106558;2;5;7
176;DBStringsPreferences;0;0;0;0;0;0;0;2;19;7;1;0;2;13;13;10;7;52;27;0;16;5.8;1;7;1.86;1;2;1.37;1;726;39;3;3;1;2.5;3;0;1;1;5;0.4;0;0;13;4;3;1;1460967089;19;0;19
177;Default;0;0;0;0;2;0;0;0;11;3;1;0;1;5;0;2;3;38;8;0;1;50;1;2;1;2;2;0.88;1.5;554;13;3;3;2;13.3;0;0;1;1;5;1.3;0;0;2;1;1;14;1364106558;0;0;0
178;DefaultAutoCompleter;0;0;0;0;0;0;0;0;9;4;0;0;4;13;4;3;2;66;20;10;7;42.4;1;4;2.5;3;4;1.5;1.75;425;28;6;6;6;17.6;0;0;1;1;5;0.6;0;0;10;0;3;25;1364106558;0;0;0
179;DefaultDesktop;0;0;1;1;0;0;0;4;22;7;1;0;3;17;19;1;6;39;20;0;14;0;1;5;1.2;1;2;0.9;1;169;31;5;5;0;0;1;0;1;1;5;0.5;0;0;6;1;5;4;1458043089;0;0;0
180;Defaults;0;0;0;0;0;0;0;0;6;2;1;0;1;3;0;13;2;17;8;0;0;0;1;2;1;1;2;0.88;1;404;11;2;2;0;0;4;0;1;1;5;1.5;0;0;2;4;2;1;1454083130;0;11;11
181;DiVAtoBibTeXFetcher;0;0;0;0;1;0;0;7;38;9;1;0;16;35;32;1;6;138;71;9.9;33;16.7;1;3;13.33;1;5;1.69;1;364;94;17;17;9;8.7;1;19;5;5;53;1.9;0;0;37;1;5;36;1353237991;5;0;5
182;DOAJFetcher;0;0;0;0;6;10;0;15;61;7;1;0;16;39;15;1;6;138;75;16;40;12.3;1;5;9.4;13;7;2.92;3.4;362;104;19;19;2;1.9;1;0;7;6;70;2.2;1;0;45;1;5;18;1446586167;3;0;3
183;DOI;0;0;0;0;2;0;1;3;34;8;1;0;5;36;16;20;7;169;51;7.8;41;45.6;1;2;14.5;5;4;1.82;5;647;88;18;18;52;37.1;0;0;4;4;35;1.3;0;0;27;7;6;21;1440073995;0;0;0
184;DOICheck;0;0;0;0;0;0;0;5;11;2;1;0;3;9;1;2;2;38;11;18.2;5;52.6;1;1;6;3;3;1.36;3;552;16;4;4;2;11.1;0;0;1;1;5;1;0;0;6;1;1;29;1364106558;0;0;0
185;DoiCleanup;0;0;0;0;1;0;0;8;31;5;1;0;8;23;8;1;2;88;37;18.9;28;26.1;1;2;12.5;8;5;2.62;4.5;444;47;8;8;6;11.3;0;0;1;1;5;0.4;0;0;27;1;2;11;1449253787;0;0;0
186;DoiResolution;0;0;0;0;2;0;6;16;43;3;1;0;12;38;1;2;2;86;42;9.5;28;27.9;1;1;23;0;7;2.71;0;482;52;8;8;7;11.9;0;0;3;3;25;1.6;0;0;24;1;1;14;1459518708;0;0;0
187;DOIStrip;0;0;0;0;0;0;0;3;9;2;1;0;3;7;1;2;2;33;8;12.5;3;54.5;1;1;3;2;3;1;2;553;12;3;3;1;7.7;0;0;1;1;5;1.4;0;0;3;1;1;21;1364106558;0;0;0
188;DOItoBibTeXFetcher;0;0;0;0;1;0;0;14;52;13;1;0;17;47;74;4;8;137;81;12.3;45;7.3;1;10;4.5;8;4;1.65;2.2;363;104;25;25;10;8.8;3;0;3;3;21;0.7;0;0;43;3;9;54;1352328276;5;0;5
189;DownloadExternalFile;0;0;0;0;18;16;3;38;148;10;1;0;23;91;7;3;3;360;185;23.2;125;26.7;2;5;14.6;52;5;2.34;11.8;67;234;62;31;60;20.4;2;0;11;11;86;1.2;0;0;128;6;8;76;1178988260;0;0;0
190;DragDropPane;0;0;1;1;7;12;0;36;91;6;5;1;3;13;5;3;0;175;88;17;54;36;4;1.5;10.5;21;8;3.63;7.67;99;116;19;9.5;39;25.2;0;0;7;7;87;2.5;0;0;53;0;3;19;1364106558;0;0;0
191;DragDropPopupPane;0;0;0;0;2;0;0;0;13;3;0;0;2;12;1;2;1;46;14;7.1;7;41.3;2;1.5;2.33;3;4;1.47;1.67;100;20;5;5;2;9.1;1;0;1;1;5;0.8;0;0;5;2;2;23;1364106558;0;0;0
192;DroppedFileHandler;0;0;0;0;13;14;1;66;231;12;1;0;28;118;0;3;5;555;288;19.1;274;19.5;2;7;16.43;16;6;2.31;6.27;68;368;84;84;67;15.4;3;28;14;13;114;1;1;0;221;6;10;95;1155398781;0;15;15
193;DuplicateCheck;0;0;0;3;32;10;6;40;188;10;1;0;10;57;35;9;5;311;166;22.3;92;25.4;1;8;16;12;6;2.3;5.63;672;206;60;60;46;18.3;2;0;6;5;77;1.2;0;1;132;6;8;61;1364106558;0;0;0
194;DuplicateResolverDialog;0;1;0;1;1;0;0;10;52;13;6;0;12;40;60;2;4;156;87;12.6;89;12.2;3;2;10.17;7;4;2.13;2;101;115;10;3.3;3;2.5;4;0;6;6;268;7.8;0;0;63;4;5;70;1364106558;0;0;0
195;DuplicateSearch;0;0;0;0;35;14;3;33;153;5;1;0;16;30;0;3;2;243;128;15.6;66;14.4;4;2.5;9;21;8;3.43;3.9;102;169;34;11.3;19;10.1;4;0;7;6;73;1.4;1;0;89;4;7;65;1364106558;0;0;0
196;DuplicationChecker;0;0;0;0;3;0;0;0;34;6;1;0;2;21;1;1;4;102;46;30.4;17;35.3;1;4;8.5;6;4;2.13;5;679;60;19;19;32;34.8;3;0;6;6;30;1.7;0;0;29;4;4;2;1459853797;0;0;0
197;EasyDateFormat;0;0;0;0;0;0;1;1;7;3;1;0;2;8;3;4;3;42;12;0;7;40.5;1;1;4;0;2;0.83;0;652;18;3;3;9;33.3;1;0;1;1;5;0.9;0;0;5;3;2;12;1440073995;5;5;10
198;EmacsKeyBindings;0;0;5;10;22;0;7;116;326;11;1;0;15;64;39;9;3;883;350;15.4;242;17.7;13;2.92;6.21;9;7;3.11;2.62;224;622;100;7.7;70;10.1;18;53;21;14;200;1.1;5;2;233;36;36;24;1125444115;0;0;0
199;EncodingControl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;31;12.9;9;12.1;1;4;4;5;6;1.74;3;510;43;5;5;4;8.5;1;0;2;2;15;1.2;0;0;15;2;2;0;1468368000;0;0;0
200;Encodings;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;20;11;0;17;0;1;0;0;0;2;0.91;0;511;16;0;0;0;0;1;0;7;3;45;9.4;0;4;4;1;0;0;1468368000;0;0;0
201;EncryptedPdfsNotSupportedException;0;0;0;0;0;0;0;0;3;1;4;0;0;2;0;2;1;22;3;0;0;72.7;1;0;0;0;0;0;0;667;4;0;0;1;20;1;0;1;1;5;4.2;0;0;0;1;0;1;1457876867;0;0;0
202;EndnoteImporter;0;0;0;0;19;17;0;59;144;9;0;0;5;46;34;3;7;298;173;35.8;117;20.1;1;7;21.29;62;6;3.6;10.57;386;214;69;69;36;14.4;0;25;16;16;205;3.2;0;0;143;1;7;64;1364106558;0;0;0
203;EntireFieldAutoCompleter;0;0;0;0;0;0;0;1;8;4;0;1;4;11;4;3;2;58;14;7.1;6;48.3;1;3;2;2;3;1.21;1.33;426;21;5;5;6;22.2;0;0;1;1;5;0.8;0;0;7;0;3;20;1364106558;0;0;0
204;EntriesGroupChange;0;0;0;0;0;0;0;0;20;6;1;0;0;9;9;8;6;58;24;0;5;25.9;1;6;1.33;1;2;1.04;1;492;32;3;3;0;0;4;0;1;1;5;0.5;0;0;8;4;3;5;1455911924;0;0;0
205;EntryAddChange;0;1;0;1;0;0;0;1;17;3;0;0;12;14;0;1;3;59;29;0;13;25.4;1;3;3.33;1;2;0.86;1;20;35;3;3;0;0;0;0;1;1;5;0.5;0;0;10;0;3;31;1364106558;17;0;17
206;EntryAddedEvent;0;0;0;0;0;0;1;0;9;3;0;0;2;4;0;7;3;51;13;0;2;54.9;1;3;1.67;1;2;1.08;1;34;17;2;2;5;22.7;0;0;1;1;5;1;0;0;5;3;2;2;1462797354;0;0;0
207;EntryChange;0;2;0;2;17;4;2;3;88;4;0;0;10;34;2;1;3;174;93;17.2;74;14.9;2;3.5;8.57;15;5;2.17;5.14;21;119;30;15;11;8.5;0;0;7;7;43;1.2;0;0;57;0;6;44;1364106558;11;0;11
208;EntryChangedEvent;0;0;0;0;0;0;0;0;2;1;0;1;2;2;0;5;1;18;5;0;1;33.3;1;1;1;1;2;0.6;1;35;7;1;1;2;22.2;0;0;1;1;5;2.4;0;0;1;2;1;1;1462797354;0;0;0
209;EntryComparator;0;3;0;4;9;12;0;12;88;5;1;0;4;23;4;2;4;145;78;25.6;37;23.4;1;4;15.25;24;4;2.19;6.75;436;97;39;39;17;14.9;2;0;6;3;41;1.4;3;0;57;3;4;59;1364106558;0;0;0
210;EntryContainer;0;0;0;0;0;0;0;0;2;1;1;0;1;1;0;5;1;28;4;0;0;64.3;1;1;0;0;1;0.25;0;103;6;0;0;1;14.3;1;0;1;1;5;2.8;0;0;0;2;1;11;1364106558;0;0;0
211;EntryConverter;0;0;0;3;0;0;0;0;21;2;1;0;1;11;1;3;1;39;21;0;16;20.5;1;0;0;0;2;1.38;0;694;26;0;0;6;18.8;3;0;13;8;71;9.1;0;5;13;4;0;3;1446111455;0;0;0
212;EntryCustomizationDialog;0;1;0;1;24;20;1;57;235;18;6;0;24;131;57;4;3;476;232;0;310;9.9;2;1;82.5;1;3;2.02;1;104;371;79;26.3;28;7;1;0;15;11;338;3;4;0;215;2;14;34;1453906548;0;0;0
213;EntryDeleteChange;0;2;0;2;1;0;0;1;27;4;0;0;14;21;0;1;3;74;36;0;15;24.3;1;3;4.33;1;2;0.92;1;22;42;3;3;3;6.7;0;0;2;2;6;0.5;0;0;13;0;3;35;1364106558;17;0;17
214;EntryEditor;0;2;1;3;39;44;11;270;693;73;5;0;71;322;1766;28;31;1495;743;11.6;821;12.8;9;5.78;10.71;19;7;2.88;2.73;174;1061;224;13.2;139;11.6;11;26;23;19;450;1.4;4;0;585;21;67;383;1068398073;0;2;2
215;EntryEditorPrefsTab;0;2;0;2;6;15;0;2;105;11;5;0;12;82;21;1;5;296;198;11.6;208;11.8;1;6;24.5;21;5;1.89;5.33;270;230;26;26;20;8;0;0;4;4;34;0.5;0;0;143;0;6;45;1171827121;0;0;0
216;EntryEditorTab;0;0;0;0;11;12;1;81;203;21;1;0;29;131;118;5;15;414;234;14.1;185;15;1;21;7.62;14;5;1.97;2.67;175;288;48;48;31;9.7;8;0;5;4;38;0.4;1;0;153;9;15;117;1104192999;0;0;0
217;EntryEditorTabFocusListener;0;0;0;0;0;10;3;8;52;5;1;0;4;20;0;2;3;124;54;13;24;21;2;3.5;5.14;6;7;2.93;2.14;176;76;14;14;5;6.2;0;0;2;2;25;1.1;0;0;31;0;3;12;1439543426;0;0;0
