;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total
48;Authors;0;0;0;1;15;20;1;36;163;7;0;0;3;40;9;2;3;325;209;28.7;119;12.3;1;5;28.4;42;6;2.75;15;546;250;70;70;19;7.1;0;0;6;6;86;1.1;0;0;159;1;5;41;1364106558;0;0;0
49;AutoCompleteFirstNameMode;0;0;0;0;0;0;0;0;2;4;2;0;0;7;4;4;2;23;2;0;0;65.2;1;0;0;0;0;0;0;418;6;0;0;0;0;1;0;1;1;5;2.8;0;0;0;1;0;1;1449407323;0;0;0
50;AutoCompleteListener;0;0;0;0;34;16;4;71;274;16;2;0;3;72;8;6;8;497;248;19;211;24.7;1;15;14.07;25;8;3.06;5.13;158;312;79;79;92;22.8;2;0;26;26;199;2.1;0;0;202;3;13;48;1364106558;0;0;0
51;AutoCompletePreferences;0;0;0;0;2;0;0;1;37;13;1;0;2;27;0;16;13;101;45;2.2;20;23.8;1;13;1.54;2;3;1.36;1.08;419;60;16;16;7;10.4;13;0;3;3;20;1.1;0;0;19;14;13;4;1449407323;14;2;16
52;AutoCompleter;0;0;0;0;0;0;0;0;7;6;1;0;1;6;15;14;6;57;10;0;0;64.9;1;6;0;0;1;0.6;0;420;11;0;0;20;64.5;0;0;2;2;5;1.5;0;0;0;7;6;23;1438214712;0;0;0
53;AutoCompleteRenderer;0;0;0;0;0;0;0;0;9;7;1;1;0;8;21;3;7;60;13;0;7;61.7;1;1;2;1;2;0.77;1;159;15;1;1;16;51.6;0;0;2;2;15;3.3;0;0;2;7;6;9;1442051540;0;0;0
54;AutoCompleterFactory;0;0;0;0;0;0;0;1;19;3;1;0;9;14;0;3;3;58;24;16.7;14;34.5;1;3;4;6;3;1.38;2.67;421;29;11;11;2;6.5;3;0;1;1;5;0.6;0;0;11;4;3;17;1364106558;0;0;0
55;AutoCompleters;0;0;0;0;2;0;0;0;18;5;1;1;3;16;0;1;2;39;17;11.8;6;15.4;1;4;1.5;2;3;1.12;1.5;422;24;6;6;4;14.3;1;0;2;2;15;2.1;0;0;8;2;4;14;1438214712;0;0;0
56;AutoCompleteSupport;0;0;0;0;31;12;1;10;132;14;1;0;8;62;33;5;7;297;108;10.2;75;32;5;3;5.2;16;5;2.21;2.6;160;155;29;9.7;51;24.8;0;0;4;4;38;0.8;0;0;61;5;9;16;1442051540;0;0;0
57;AutoDetectPaths;0;0;3;4;24;14;1;51;180;12;0;0;11;90;28;2;7;284;165;13.3;152;7.4;2;6.5;9.54;23;6;2.46;3.3;255;237;64;64;4;1.7;4;0;7;5;73;1;2;0;127;5;11;51;1364106558;0;0;0
58;AutoGroupDialog;0;1;0;2;12;0;0;17;90;12;6;0;13;62;44;3;2;209;145;4.8;135;11.5;3;1.67;18.8;8;7;2.18;3.8;194;165;10;10;5;2.9;0;0;5;5;272;5.5;0;0;88;0;3;65;1069874981;0;0;0
